Community,Feature_1,Feature_2,Feature_3,Feature_4
97,6,1,0.03,0.32
98,19,1,0.06,0.63
99,9,1,0.01,0.6
100,33,1,0.14,0.34
101,40,1,0.11,0.47
102,34,1,0.0,0.27
103,12,1,0.18,0.26
104,48,1,0.24,0.4
105,46,1,0.0,0.39
106,22,1,0.01,0.36
107,6,1,0.05,0.35
108,42,1,0.01,0.51
109,48,1,0.0,0.49
110,4,1,0.64,0.35
111,12,1,0.06,0.24
112,42,1,0.01,0.34
113,25,1,0.02,0.66
114,6,1,0.13,0.39
115,6,1,0.0,0.4
116,34,1,0.01,0.61
117,6,1,0.16,0.64
118,42,1,0.02,0.53
119,12,1,0.03,0.28
120,6,1,0.12,0.07
121,12,1,0.06,0.43
122,34,1,0.02,0.51
123,39,1,0.03,0.68
124,45,1,0.0,0.45
125,33,1,0.02,0.45
126,39,1,0.01,0.45
127,42,1,0.05,0.33
128,6,1,0.01,0.56
129,6,1,0.03,0.78
130,39,1,0.0,0.39
131,28,1,0.02,0.38
132,25,1,0.0,0.5
133,16,1,0.01,0.49
134,6,1,0.05,0.71
135,34,1,0.1,0.34
136,34,1,0.01,0.41
137,25,1,0.0,0.53
138,6,1,0.04,0.29
139,47,1,0.0,0.33
140,6,1,0.01,0.43
141,6,1,0.03,0.83
142,33,1,0.03,0.52
143,5,1,0.03,0.55
144,34,1,0.02,0.7
145,6,1,0.06,0.49
146,25,1,0.15,0.51
147,22,1,0.34,0.43
148,42,1,0.01,0.34
149,12,1,0.01,0.48
150,12,1,0.02,0.47
151,48,1,0.12,0.49
152,37,1,0.11,0.39
153,39,1,0.01,0.41
154,44,1,0.03,0.46
155,12,1,0.0,0.39
156,34,1,0.08,0.67
157,6,1,0.02,0.42
158,37,1,0.01,0.41
159,12,1,0.14,0.22
160,40,1,0.0,0.55
161,29,1,0.01,0.44
162,9,1,0.03,0.29
163,25,1,0.04,0.54
164,25,1,0.02,0.52
165,34,1,0.01,0.27
166,6,1,0.04,0.6
167,51,1,0.04,0.67
168,48,1,0.01,0.41
169,37,1,0.02,0.37
170,39,1,0.06,0.35
171,54,1,0.07,0.28
172,42,1,0.0,0.44
173,18,1,0.0,0.4
174,48,1,0.03,0.9
175,25,1,0.11,0.4
176,34,1,0.13,0.51
177,42,1,0.02,0.47
178,34,1,0.35,0.5
179,53,1,0.01,0.31
180,40,1,0.0,0.24
181,39,1,0.03,0.34
182,35,1,0.0,0.49
183,48,1,0.0,0.5
184,34,1,0.0,0.67
185,9,1,0.07,0.35
186,37,1,0.28,0.33
187,12,1,0.11,0.59
188,18,1,0.02,0.46
189,42,1,0.01,0.49
190,39,1,0.02,0.63
191,34,1,0.01,0.58
192,25,1,0.04,0.42
193,39,1,0.02,0.97
194,48,1,0.02,0.73
195,49,1,0.0,0.97
196,25,1,0.0,0.59
197,50,1,0.01,0.58
198,13,1,0.2,0.44
199,6,1,0.09,0.39
200,37,1,0.01,0.29
201,12,2,0.03,0.58
202,34,2,0.0,0.44
203,18,2,0.01,0.56
204,6,2,0.01,0.89
205,42,2,0.0,0.35
206,41,2,0.16,0.32
207,6,2,0.2,0.37
208,39,2,0.0,0.35
209,25,2,0.03,0.4
210,45,2,0.0,0.31
211,24,2,0.01,0.36
212,54,2,0.0,0.31
213,12,2,0.03,0.19
214,34,2,0.01,0.44
215,48,2,0.01,0.64
216,6,2,0.07,0.48
217,48,2,0.03,0.58
218,49,2,0.0,0.86
219,51,2,0.07,0.33
220,23,2,0.02,0.35
221,55,2,0.0,0.52
222,36,2,0.02,0.38
223,42,2,0.07,0.42
224,39,2,0.0,0.48
225,55,2,0.04,0.4
226,1,2,0.0,0.31
227,48,2,0.02,0.37
228,44,2,0.1,0.33
229,45,2,0.0,0.45
230,13,2,0.01,0.24
231,19,2,0.0,0.38
232,42,2,0.0,0.5
233,53,2,0.02,0.32
234,9,2,0.19,0.44
235,25,2,0.03,0.54
236,48,2,0.01,0.62
237,6,2,0.03,0.8
238,55,2,0.02,0.61
239,25,2,0.05,0.51
240,53,2,0.04,0.35
241,25,2,0.03,0.52
242,42,2,0.02,0.29
243,6,2,0.11,0.57
244,6,2,0.15,1.0
245,39,2,0.02,0.48
246,6,2,0.08,0.41
247,6,2,0.08,0.46
248,12,2,0.01,0.19
249,45,2,0.05,0.41
250,55,2,0.07,0.39
251,37,2,0.62,0.35
252,12,2,0.1,0.3
253,18,2,0.02,0.51
254,34,2,0.0,0.39
255,42,2,0.01,0.57
256,45,2,0.1,0.61
257,29,2,0.01,0.31
258,42,2,0.0,0.41
259,54,2,0.01,0.24
260,48,2,0.0,0.72
261,18,2,0.02,0.35
262,12,2,0.02,0.23
263,51,2,0.31,0.3
264,9,2,0.03,0.66
265,44,2,0.03,0.51
266,47,2,0.03,0.27
267,1,2,0.28,0.45
268,29,2,0.01,0.36
269,29,2,0.0,0.62
270,25,2,0.01,0.32
271,25,2,0.03,0.54
272,47,2,0.04,0.27
273,12,2,0.0,0.19
274,18,2,0.04,0.46
275,25,2,0.0,0.67
276,6,2,0.06,0.64
277,1,2,0.02,0.41
278,9,2,0.06,0.39
279,9,2,0.01,0.55
280,38,2,0.06,0.39
281,48,2,0.01,0.33
282,25,2,0.01,0.22
283,42,2,0.01,0.4
284,8,2,0.03,0.21
285,34,2,0.01,0.56
286,48,2,0.01,0.45
287,34,2,0.03,0.35
288,33,2,0.0,0.69
289,48,2,0.02,0.43
290,25,2,0.01,0.52
291,34,2,0.02,0.35
292,51,2,0.0,0.79
293,42,2,0.01,0.62
294,42,2,0.15,0.34
295,39,2,0.02,0.35
296,34,2,0.04,0.48
297,6,2,0.67,0.46
298,34,2,0.01,0.72
299,6,2,0.0,0.9
300,53,2,0.06,0.26
301,39,2,0.02,0.52
302,1,2,0.0,0.35
303,1,2,0.01,0.44
304,13,2,0.02,0.35
305,40,2,0.02,0.42
306,6,2,0.04,0.2
307,48,2,0.09,0.54
308,39,2,0.03,0.35
309,34,2,0.03,0.39
310,25,2,0.02,0.39
311,29,2,0.01,0.53
312,34,2,0.07,0.57
313,34,2,0.08,0.32
314,39,2,0.12,0.37
315,34,2,0.01,0.39
316,36,2,0.08,0.3
317,37,2,0.01,0.47
318,6,2,0.01,0.87
319,39,2,0.0,0.24
320,6,2,0.01,0.4
321,21,2,0.0,0.48
322,40,2,0.02,0.32
323,23,2,0.02,0.41
324,48,2,0.09,0.48
325,6,2,0.08,0.57
326,4,2,0.02,0.98
327,19,2,0.0,0.33
328,47,2,0.04,0.52
329,34,2,0.01,0.68
330,6,2,0.04,0.64
331,39,2,0.05,0.55
332,48,2,0.04,0.43
333,34,2,0.03,0.52
334,34,2,0.04,0.31
335,48,2,0.01,0.48
336,42,2,0.06,0.52
337,49,2,0.12,0.96
338,39,2,0.03,0.6
339,9,2,0.07,0.38
340,48,2,0.0,0.6
341,34,2,0.11,0.51
342,39,2,0.0,0.57
343,25,2,0.0,1.0
344,36,2,0.04,0.4
345,55,2,0.01,0.34
346,55,2,0.14,0.36
347,53,2,0.81,0.19
348,8,2,0.08,0.45
349,34,2,0.0,0.43
350,53,2,0.02,0.71
351,9,2,0.0,0.37
352,39,2,0.02,0.4
353,46,2,0.02,0.35
354,39,2,0.01,0.57
355,49,2,0.09,1.0
356,36,2,0.01,0.45
357,25,2,0.06,0.45
358,34,2,0.01,0.47
359,18,2,0.01,0.33
360,40,2,0.0,0.61
361,1,2,0.02,0.43
362,29,2,0.02,0.39
363,1,2,0.41,0.37
364,41,2,0.0,0.56
365,41,2,0.02,0.43
366,18,2,0.15,0.36
367,42,2,0.16,0.4
368,48,2,0.01,0.7
369,48,2,0.07,0.58
370,29,2,0.07,0.45
371,48,2,0.03,0.38
372,13,2,0.03,0.15
373,55,2,0.01,0.48
374,33,2,0.02,0.59
375,13,2,0.01,0.4
376,6,2,0.02,0.56
377,9,2,0.03,0.43
378,49,2,0.01,0.55
379,34,2,0.02,0.5
380,45,2,0.01,0.33
381,42,2,0.11,0.36
382,47,2,0.01,0.76
383,34,2,0.02,0.5
384,8,2,0.0,0.46
385,34,2,0.16,0.52
386,48,2,0.0,0.49
387,6,2,0.08,1.0
388,48,2,0.0,0.38
389,6,2,0.17,0.83
390,39,2,0.01,0.48
391,6,2,0.0,0.62
392,53,2,0.01,0.56
393,37,2,0.03,0.49
394,48,2,0.03,0.49
395,48,2,0.0,0.68
396,16,2,0.03,0.33
397,48,2,0.14,1.0
398,42,2,0.01,0.31
399,51,2,0.01,0.39
400,12,2,0.03,0.0
401,39,3,0.07,0.36
402,55,3,0.99,0.42
403,22,3,0.0,0.45
404,48,3,0.0,0.76
405,6,3,0.01,0.64
406,4,3,0.01,0.77
407,27,3,0.01,0.32
408,8,3,0.01,0.55
409,37,3,0.06,0.41
410,6,3,0.03,0.29
411,12,3,0.04,0.41
412,36,3,0.02,0.49
413,37,3,0.01,0.35
414,24,3,1.0,0.44
415,34,3,0.02,0.59
416,12,3,0.0,0.34
417,18,3,0.0,0.48
418,34,3,0.0,0.36
419,25,3,0.01,0.51
420,48,3,0.01,0.41
421,1,3,0.03,0.34
422,25,3,0.04,0.34
423,34,3,0.01,0.33
424,21,3,0.05,0.36
425,42,3,0.01,0.43
426,48,3,0.01,0.49
427,42,3,0.01,0.54
428,45,3,0.03,0.35
429,48,3,0.03,0.48
430,6,3,0.19,0.49
431,44,3,0.02,0.39
432,6,3,0.58,0.39
433,55,3,0.0,0.37
434,28,3,0.05,0.38
435,23,3,0.0,0.56
436,34,3,0.0,0.4
437,36,3,0.06,0.53
438,9,3,0.01,0.37
439,6,3,0.43,0.53
440,8,3,0.03,0.24
441,12,3,0.01,0.56
442,47,3,0.03,0.38
443,5,3,0.01,0.35
444,39,3,0.01,0.32
445,48,3,0.08,0.33
446,47,3,0.01,0.38
447,1,3,0.0,0.41
448,34,3,0.08,0.49
449,34,3,0.02,0.56
450,39,3,0.02,0.37
451,47,3,0.0,0.47
452,55,3,0.04,0.34
453,37,3,0.03,0.34
454,18,3,0.05,0.35
455,48,3,0.15,0.42
456,49,3,0.01,0.79
457,29,3,0.03,0.31
458,12,3,0.03,0.56
459,51,3,0.0,0.37
460,33,3,0.02,0.67
461,13,3,0.0,0.49
462,39,3,0.04,0.56
463,6,3,0.0,1.0
464,25,3,0.06,0.55
465,53,3,0.27,0.29
466,8,3,0.0,0.36
467,34,3,0.01,0.71
468,6,3,0.02,0.4
469,39,3,0.03,0.38
470,34,3,0.0,0.46
471,53,3,0.1,0.33
472,49,3,0.1,1.0
473,13,3,0.03,0.37
474,37,3,0.03,0.31
475,13,3,0.01,0.5
476,53,3,0.01,0.3
477,55,3,0.04,0.45
478,6,3,0.08,0.68
479,55,3,0.01,0.35
480,47,3,0.01,0.34
481,12,3,0.01,0.38
482,6,3,0.03,0.6
483,21,3,0.03,0.24
484,48,3,0.05,0.34
485,36,3,0.04,0.62
486,48,3,0.73,0.32
487,53,3,0.04,0.34
488,39,3,0.03,0.34
489,47,3,0.02,0.33
490,34,3,0.01,0.41
491,34,3,0.0,0.66
492,28,3,0.02,0.37
493,25,3,0.01,0.63
494,34,3,0.06,0.61
495,53,3,0.02,0.6
496,35,3,0.0,0.46
497,9,3,0.11,0.39
498,39,3,0.06,0.36
499,25,3,0.01,0.47
500,6,3,0.25,0.62
501,25,3,0.04,0.45
502,5,3,0.06,0.41
503,34,3,0.03,0.39
504,55,3,0.0,0.67
505,40,3,0.07,0.39
506,47,3,0.25,0.29
507,39,3,0.1,0.47
508,41,3,0.07,0.31
509,48,3,0.0,0.62
510,23,3,0.0,0.39
511,40,3,0.05,0.6
512,55,3,0.11,0.46
513,39,3,0.02,0.32
514,6,3,0.17,0.35
515,40,3,0.04,0.33
516,42,3,0.0,0.46
517,34,3,0.04,0.39
518,5,3,0.02,0.44
519,8,3,0.01,0.6
520,19,3,0.0,0.31
521,12,3,0.09,0.33
522,25,3,0.05,0.4
523,39,3,1.0,0.34
524,5,3,0.0,0.4
525,36,3,0.03,0.42
526,35,3,0.6,0.36
527,13,3,0.01,0.54
528,36,3,0.0,0.35
529,6,3,0.08,0.98
530,44,3,0.0,0.37
531,34,3,0.0,0.39
532,8,3,0.04,0.44
533,39,3,0.52,0.38
534,6,3,0.02,0.65
535,42,3,0.0,0.28
536,45,3,0.01,0.41
537,55,3,0.02,0.49
538,34,3,0.0,0.52
539,34,3,0.01,0.39
540,37,3,0.01,0.3
541,42,3,0.08,0.47
542,6,3,0.05,0.61
543,42,3,0.01,0.34
544,25,3,0.01,0.52
545,34,3,0.08,0.52
546,6,3,0.01,0.79
547,34,3,0.01,0.46
548,18,3,0.03,0.47
549,19,3,0.03,0.33
550,36,3,0.01,0.29
551,19,3,0.02,0.42
552,41,3,0.01,0.48
553,6,3,0.12,0.9
554,9,3,0.16,0.4
555,34,3,0.02,0.42
556,37,3,0.02,0.37
557,23,3,0.02,0.45
558,20,3,0.47,0.34
559,6,3,0.04,0.37
560,6,3,0.02,0.3
561,34,3,0.01,0.33
562,18,3,0.0,0.36
563,34,3,0.05,0.43
564,1,3,0.04,0.33
565,6,3,1.0,0.55
566,38,3,0.04,0.34
567,47,3,0.03,0.37
568,6,3,0.1,0.53
569,48,3,0.4,0.56
570,48,3,0.02,0.34
571,6,3,0.07,0.71
572,12,3,0.02,0.31
573,44,3,0.11,0.41
574,36,3,0.03,0.66
575,42,3,0.02,0.33
576,39,3,0.01,0.55
577,42,3,0.01,0.41
578,25,3,0.02,0.54
579,18,3,0.05,0.32
580,9,3,0.01,0.4
581,34,3,0.0,0.59
582,34,3,0.0,0.57
583,29,3,0.01,0.38
584,36,3,0.01,0.31
585,34,3,0.1,0.53
586,9,3,0.01,0.39
587,13,3,0.11,0.52
588,48,3,0.0,0.9
589,42,3,0.11,0.35
590,56,3,0.03,0.4
591,40,3,0.01,0.39
592,42,3,0.07,0.32
593,47,3,0.04,0.66
594,34,3,0.0,0.49
595,9,3,0.02,0.51
596,39,3,0.03,0.39
597,36,3,0.06,0.36
598,25,3,0.07,0.43
599,18,3,0.05,0.35
600,1,3,0.0,0.51
601,36,4,1.0,0.41
602,6,4,0.04,0.46
603,36,4,0.0,0.23
604,6,4,0.07,0.26
605,12,4,0.04,0.45
606,21,4,0.01,0.47
607,54,4,0.0,0.33
608,18,4,0.03,0.49
609,36,4,0.02,0.32
610,42,4,0.02,0.58
611,6,4,0.09,0.49
612,42,4,0.04,0.38
613,29,4,0.16,0.35
614,25,4,0.05,0.31
615,6,4,0.0,0.4
616,36,4,0.01,0.33
617,39,4,0.01,0.45
618,46,4,0.07,0.4
619,45,4,0.01,0.42
620,6,4,0.05,0.51
621,13,4,0.01,0.47
622,55,4,0.07,0.45
623,33,4,0.0,0.43
624,25,4,0.05,0.4
625,6,4,0.07,0.66
626,56,4,0.06,0.34
627,34,4,0.01,0.42
628,23,4,0.02,0.47
629,48,4,0.01,0.33
630,55,4,0.01,0.39
631,18,4,0.17,0.54
632,34,4,0.13,0.56
633,51,4,0.01,0.33
634,28,4,0.01,0.61
635,21,4,0.0,0.34
636,41,4,0.03,0.32
637,48,4,0.02,0.79
638,25,4,0.13,0.53
639,12,4,0.08,0.28
640,46,4,0.14,0.37
641,6,4,0.0,0.83
642,9,4,0.21,0.47
643,1,4,0.0,0.48
644,49,4,0.04,0.77
645,25,4,0.01,0.6
646,12,4,0.0,0.65
647,48,4,0.0,1.0
648,34,4,0.0,0.41
649,6,4,0.03,0.6
650,1,4,0.0,0.43
651,51,4,0.01,0.65
652,6,4,0.04,0.46
653,9,4,0.02,0.52
654,42,4,0.01,0.35
655,50,4,0.01,0.32
656,25,4,0.03,0.41
657,47,4,0.0,0.35
658,6,4,0.03,0.51
659,6,4,0.06,0.43
660,18,4,0.01,0.45
661,48,4,0.02,0.87
662,29,4,0.02,0.51
663,37,4,0.32,0.32
664,48,4,0.7,0.44
665,41,4,0.01,0.33
666,6,4,0.08,0.23
667,1,4,0.01,0.44
668,13,4,0.62,0.37
669,6,4,0.04,1.0
670,25,4,0.91,0.36
671,6,4,0.03,0.41
672,34,4,0.0,0.57
673,49,4,0.05,1.0
674,44,4,0.01,0.44
675,51,4,0.14,0.28
676,39,4,0.14,0.4
677,47,4,0.23,0.33
678,27,4,0.01,0.14
679,12,4,0.0,0.23
680,55,4,0.04,0.55
681,39,4,0.01,0.34
682,6,4,0.13,0.46
683,42,4,1.0,0.43
684,12,4,0.01,0.43
685,53,4,0.05,0.41
686,34,4,0.02,0.62
687,4,4,0.03,0.26
688,6,4,0.07,1.0
689,53,4,0.07,0.38
690,6,4,0.05,0.42
691,39,4,0.0,0.49
692,51,4,0.15,0.45
693,6,4,0.07,0.97
694,13,4,0.06,0.29
695,47,4,0.01,0.45
696,48,4,1.0,0.36
697,34,4,0.04,0.56
698,39,4,0.04,0.41
699,48,4,0.18,0.54
700,6,4,0.05,1.0
701,6,4,0.05,0.61
702,41,4,0.03,0.36
703,41,4,0.0,0.41
704,23,4,0.0,0.64
705,6,4,0.09,0.18
706,51,4,0.0,0.28
707,39,4,0.02,0.42
708,40,4,0.01,0.37
709,12,4,0.02,0.31
710,42,4,0.0,0.3
711,21,4,0.01,0.37
712,39,4,0.1,0.41
713,27,4,0.02,0.8
714,48,4,0.01,0.55
715,21,4,0.0,0.37
716,9,4,0.02,0.42
717,6,4,0.05,0.51
718,29,4,0.05,0.6
719,48,4,0.02,0.36
720,34,4,0.02,0.47
721,33,4,0.03,0.36
722,41,4,0.03,0.33
723,6,4,0.01,0.2
724,6,4,0.03,0.6
725,42,4,0.01,0.38
726,42,4,0.03,0.58
727,6,4,0.13,1.0
728,13,4,0.16,0.41
729,39,4,0.01,0.41
730,6,4,0.13,0.5
731,48,4,0.01,0.43
732,12,4,0.0,0.49
733,22,4,0.01,0.41
734,39,4,0.02,0.33
735,12,4,0.01,0.53
736,37,4,0.01,0.42
737,42,4,0.0,0.18
738,33,4,0.0,1.0
739,23,4,0.09,0.24
740,48,4,0.19,0.57
741,51,4,0.16,0.15
742,25,4,0.01,0.47
743,37,4,0.01,0.31
744,28,4,0.03,0.42
745,6,4,0.03,0.53
746,24,4,0.02,0.23
747,38,4,0.01,0.41
748,44,4,0.12,0.39
749,39,4,0.0,0.52
750,50,4,0.0,0.34
751,48,4,0.03,0.74
752,6,4,0.02,0.84
753,21,4,0.07,0.34
754,55,4,0.02,0.51
755,25,4,0.0,0.39
756,53,4,0.05,0.42
757,39,4,0.01,0.43
758,37,4,0.0,0.12
759,6,4,0.02,0.71
760,19,4,0.03,0.43
761,48,4,0.03,0.58
762,41,4,0.02,0.31
763,34,4,0.01,0.63
764,6,4,0.0,0.41
765,9,4,0.01,0.33
766,34,4,0.0,0.71
767,48,4,0.07,0.44
768,12,4,0.01,0.15
769,47,4,0.02,0.38
770,6,4,0.03,0.66
771,1,4,0.07,0.41
772,34,4,0.0,0.57
773,21,4,0.03,0.42
774,36,4,0.01,0.41
775,29,4,0.02,0.28
776,47,4,0.0,0.2
777,34,4,0.1,0.46
778,36,4,0.09,0.29
779,49,4,0.03,0.45
780,47,4,0.0,0.29
781,6,4,0.12,0.57
782,47,4,0.06,0.39
783,34,4,0.01,0.39
784,5,4,0.08,0.48
785,34,4,0.06,0.43
786,37,4,0.01,0.41
787,25,4,0.14,0.32
788,44,4,0.03,0.44
789,1,4,0.02,0.39
790,34,4,0.01,0.44
791,34,4,0.04,0.23
792,13,4,0.03,0.42
793,55,4,0.01,0.47
794,12,4,0.09,0.37
795,41,4,0.01,0.37
796,12,4,0.08,0.45
797,55,4,0.0,0.44
798,41,4,0.01,0.31
799,42,4,0.02,0.28
800,2,4,0.03,0.46
801,42,5,0.0,0.56
802,34,5,0.03,0.47
803,34,5,0.02,0.42
804,22,5,0.0,0.53
805,48,5,0.02,0.45
806,53,5,0.01,0.36
807,41,5,0.01,0.29
808,29,5,0.04,0.36
809,8,5,0.44,0.38
810,16,5,0.01,1.0
811,12,5,0.0,0.4
812,6,5,0.09,0.67
813,53,5,0.04,0.23
814,54,5,0.02,0.32
815,40,5,0.0,0.37
816,34,5,0.13,0.51
817,34,5,0.01,0.24
818,25,5,0.0,0.38
819,44,5,0.0,0.52
820,13,5,0.01,0.63
821,42,5,0.02,0.47
822,28,5,0.05,0.43
823,29,5,0.0,0.46
824,48,5,0.03,0.54
825,25,5,0.01,0.51
826,25,5,0.01,0.62
827,6,5,0.01,0.46
828,12,5,0.0,0.1
829,42,5,0.02,0.17
830,6,5,0.05,0.55
831,12,5,0.04,0.29
832,9,5,0.03,0.41
833,44,5,0.01,0.46
834,42,5,0.03,0.43
835,12,5,0.0,0.12
836,6,5,0.02,0.67
837,39,5,0.02,0.34
838,6,5,0.05,0.34
839,9,5,0.08,0.43
840,42,5,0.0,0.58
841,48,5,0.15,0.53
842,6,5,0.02,0.56
843,6,5,0.04,0.7
844,18,5,0.12,0.42
845,12,5,0.05,0.3
846,6,5,0.16,0.76
847,37,5,0.01,0.3
848,35,5,0.04,0.54
849,39,5,0.02,0.44
850,6,5,0.03,0.45
851,6,5,0.06,0.4
852,9,5,0.0,0.5
853,42,5,0.0,0.33
854,39,5,0.0,0.42
855,48,5,0.06,0.71
856,24,5,0.0,0.32
857,4,5,0.06,0.71
858,37,5,0.04,0.39
859,39,5,0.06,0.51
860,48,5,0.02,0.68
861,42,5,0.01,0.29
862,4,5,0.0,0.72
863,37,5,0.01,0.28
864,18,5,0.02,0.46
865,48,5,0.02,0.89
866,5,5,0.01,0.51
867,45,5,0.05,0.54
868,12,5,0.07,0.22
869,48,5,0.23,0.33
870,12,5,0.12,0.44
871,12,5,0.03,0.25
872,6,5,0.04,0.65
873,48,5,0.01,0.65
874,48,5,0.01,0.67
875,13,5,0.05,0.21
876,48,5,0.02,0.35
877,1,5,0.01,0.46
878,37,5,0.05,0.52
879,39,5,0.01,0.46
880,21,5,0.01,0.51
881,6,5,0.02,0.26
882,45,5,0.0,0.51
883,6,5,0.07,0.48
884,40,5,0.04,0.36
885,18,5,0.02,0.33
886,6,5,0.11,0.52
887,6,5,0.14,0.72
888,42,5,0.01,0.28
889,18,5,0.02,0.49
890,6,5,0.06,0.46
891,25,5,0.07,0.23
892,42,5,0.01,0.47
893,13,5,0.0,0.66
894,46,5,0.01,0.55
895,5,5,0.03,0.52
896,1,5,0.01,0.36
897,47,5,0.01,1.0
898,9,5,0.04,0.35
899,48,5,0.01,0.4
900,24,5,0.04,0.28
901,55,5,0.02,0.42
902,18,5,0.01,0.49
903,36,5,0.02,0.4
904,44,5,0.01,0.39
905,6,5,0.1,0.56
906,33,5,0.03,0.49
907,6,5,0.16,0.51
908,34,5,0.01,0.26
909,55,5,0.01,0.55
910,29,5,0.68,0.33
911,34,5,0.0,0.84
912,21,5,0.0,0.63
913,42,5,0.01,0.32
914,36,5,0.04,0.34
915,49,5,0.04,0.6
916,8,5,0.0,0.45
917,9,5,0.08,0.36
918,1,5,0.0,0.62
919,16,5,0.06,0.45
920,4,5,0.19,0.23
921,12,5,0.0,0.15
922,34,5,0.01,0.47
923,25,5,0.01,0.52
924,34,5,0.06,0.33
925,48,5,0.0,0.42
926,18,5,0.01,0.34
927,6,5,0.06,0.3
928,40,5,0.0,0.41
929,54,5,0.02,0.27
930,6,5,0.04,0.53
931,44,5,0.01,0.68
932,6,5,0.02,0.52
933,6,5,0.03,0.32
934,34,5,0.02,0.65
935,55,5,0.01,0.27
936,25,5,0.02,0.56
937,48,5,0.02,0.49
938,25,5,0.0,0.57
939,16,5,0.03,0.43
940,39,5,0.0,0.52
941,36,5,0.01,0.34
942,48,5,0.01,0.49
943,1,5,0.02,0.23
944,34,5,0.02,0.52
945,34,5,0.03,0.68
946,39,5,0.57,0.29
947,6,5,0.03,0.99
948,37,5,0.06,0.43
949,48,5,0.02,0.61
950,6,5,0.03,0.94
951,25,5,0.0,0.49
952,18,5,0.01,0.35
953,45,5,0.01,0.69
954,12,5,0.0,0.37
955,34,5,0.01,0.49
956,1,5,0.04,0.67
957,39,5,0.0,0.61
958,6,5,0.04,0.0
959,42,5,0.03,0.35
960,13,5,0.27,0.47
961,21,5,0.01,0.28
962,1,5,0.11,0.43
963,19,5,0.0,0.48
964,9,5,0.01,0.51
965,42,5,0.01,0.58
966,48,5,0.03,0.65
967,48,5,0.17,0.43
968,4,5,0.03,0.68
969,12,5,0.01,0.36
970,13,5,0.0,0.37
971,39,5,0.8,0.37
972,25,5,0.0,0.59
973,18,5,0.01,0.31
974,34,5,0.06,0.66
975,34,5,0.06,0.44
976,25,5,0.0,0.52
977,13,5,0.02,0.38
978,22,5,0.0,0.44
979,44,5,0.24,0.48
980,23,5,0.02,0.31
981,41,5,0.01,0.45
982,23,5,0.01,0.42
983,21,5,0.01,0.39
984,39,5,0.02,0.46
985,44,5,0.04,0.32
986,42,5,0.01,0.52
987,6,5,0.07,0.84
988,34,5,0.01,0.34
989,25,5,0.02,0.55
990,46,5,0.01,0.32
991,39,5,0.0,0.37
992,13,5,0.05,0.52
993,37,5,0.0,0.32
994,55,5,0.0,0.33
995,34,5,0.0,0.97
996,37,5,0.01,0.33
