 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
123,68044182,2,2,96,96,48,48,48,0,48,48,48,0,2.821696056,0.058785335,22700000,39200000,68000000,44193,68000000,68000000,0,68000000,68000000,68000000,68000000,0,68000000,68000000,0,0,0,0,40,52,0.029392667,0.029392667,48,48,48,0,0,0,0,0,0,0,0,0,0,1,60,48,48,40,0,0,0,0,0,0,2,96,2,96,-1,-1,1,20,44193,0,44193,44193,68000000,0,68000000,68000000,BENIGN
443,5413832,7,4,315,145,233,0,45,85.31900921,145,0,36.25,72.5,84.9675424,2.031832536,541383.2,1560026.174,4978403,3,5413832,902305.3333,2056826.292,5099274,3,350348,116782.6667,114217.1232,228252,3,0,0,0,0,232,136,1.292984341,0.738848195,0,233,38.33333333,74.61578353,5567.515152,0,0,0,1,0,0,0,0,0,41.81818182,45,36.25,232,0,0,0,0,0,0,7,315,4,145,29200,110,3,32,0,0,0,0,0,0,0,0,BENIGN
123,64093965,2,2,96,96,48,48,48,0,48,48,48,0,2.995601848,0.062408372,21400000,36800000,63900000,93995,64000000,64000000,0,64000000,64000000,64000000,64000000,0,64000000,64000000,0,0,0,0,52,52,0.031204186,0.031204186,48,48,48,0,0,0,0,0,0,0,0,0,0,1,60,48,48,52,0,0,0,0,0,0,2,96,2,96,-1,-1,1,20,94416,0,94416,94416,63900000,0,63900000,63900000,BENIGN
135,119,2,3,0,0,0,0,0,0,0,0,0,0,0,42016.80672,29.75,25.5261304,63,1,93,93,0,93,93,89,44.5,61.51828996,88,1,0,0,0,0,40,60,16806.72269,25210.08403,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,40,0,0,0,0,0,0,2,0,3,0,253,2050,0,20,0,0,0,0,0,0,0,0,BENIGN
50897,212,3,0,31,0,31,0,10.33333333,17.89785834,0,0,0,0,146226.4151,14150.9434,106,147.0782105,210,2,212,106,147.0782105,210,2,0,0,0,0,0,0,0,0,0,96,0,14150.9434,0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,10.33333333,0,96,0,0,0,0,0,0,3,31,0,0,61,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
80,12428431,1441,2281,14472,4248697,237,0,10.04302568,45.63106377,5792,0,1862.646646,791.0680109,343017.4734,299.4746481,3340.078205,15995.8033,291603,1,12400000,8630.854861,25065.87318,291603,1,12300000,5409.169737,20646.68455,307186,1,0,0,0,0,46540,73012,115.9438388,183.5308093,0,5792,1145.089713,1094.911777,1198831.8,0,0,0,1,0,0,0,0,1,1145.397367,10.04302568,1862.646646,46540,0,0,0,0,0,0,1441,14472,2281,4248697,29200,773,69,32,0,0,0,0,0,0,0,0,BENIGN
389,1,2,0,7,0,7,0,3.5,4.949747468,0,0,0,0,7000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,64,0,2000000,0,0,7,4.666666667,4.041451884,16.33333333,0,1,0,0,1,0,0,0,0,7,3.5,0,64,0,0,0,0,0,0,2,7,0,0,237,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
443,501,2,0,0,0,0,0,0,0,0,0,0,0,0,3992.015968,501,0,501,501,501,501,0,501,501,0,0,0,0,0,0,0,0,0,64,0,3992.015968,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,401,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53,31063,1,1,41,118,41,41,41,0,118,118,118,0,5118.629881,64.38528152,31063,0,31063,31063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32.19264076,32.19264076,41,118,66.66666667,44.45597073,1976.333333,0,0,0,0,0,0,0,0,1,100,41,118,32,0,0,0,0,0,0,1,41,1,118,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
80,5957368,3,1,0,0,0,0,0,0,0,0,0,0,0,0.671437454,1985789.333,3426251.422,5942074,62,5957368,2978684,4190866.329,5942074,15294,0,0,0,0,0,0,0,0,0,72,32,0.50357809,0.167859363,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,3,0,1,0,8192,29200,0,20,0,0,0,0,0,0,0,0,BENIGN
50003,203,2,0,0,0,0,0,0,0,0,0,0,0,0,9852.216749,203,0,203,203,203,203,0,203,203,0,0,0,0,0,0,0,0,0,40,0,9852.216749,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,10227,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
80,252078,3,4,429,2267,429,0,143,247.6832655,2267,0,566.75,1133.5,10695.10231,27.76918255,42013,72046.89919,185472,4,218348,109174,107901.6664,185472,32876,219230,73076.66667,125615.0113,218123,4,0,0,0,0,104,136,11.90107824,15.86810432,0,2267,337,794.1552565,630682.5714,0,0,0,1,0,0,0,0,1,385.1428571,143,566.75,104,0,0,0,0,0,0,3,429,4,2267,29200,235,1,32,0,0,0,0,0,0,0,0,BENIGN
443,5250176,10,6,603,3262,342,0,60.3,118.6386203,1460,0,543.6666667,716.4737725,736.1657971,3.047516883,350011.7333,1264170.146,4917619,1,5250176,583352.8889,1626245.116,4917619,1,194681,38936.2,52428.11825,96427,47,0,0,0,0,220,132,1.904698052,1.142818831,0,1460,227.3529412,475.9485189,226526.9926,0,0,0,1,0,0,0,0,0,241.5625,60.3,543.6666667,220,0,0,0,0,0,0,10,603,6,3262,29200,34930,3,20,0,0,0,0,0,0,0,0,BENIGN
80,501431,3,4,429,2267,429,0,143,247.6832655,2267,0,566.75,1133.5,5376.612136,13.96004635,83571.83333,172919.5713,435064,5,467711,233855.5,284551.7896,435064,32647,468812,156270.6667,269736.5526,467735,5,0,0,0,0,104,136,5.982877006,7.977169341,0,2267,337,794.1552565,630682.5714,0,0,0,1,0,0,0,0,1,385.1428571,143,566.75,104,0,0,0,0,0,0,3,429,4,2267,29200,237,1,32,0,0,0,0,0,0,0,0,BENIGN
53,56958661,2,2,92,190,47,45,46,1.414213562,111,79,95,22.627417,4.950959082,0.07022637,19000000,32600000,56600000,23598,56900000,56900000,0,56900000,56900000,56700000,56700000,0,56700000,56700000,0,0,0,0,52,40,0.035113185,0.035113185,45,111,65.4,29.30528962,858.8,0,0,0,0,0,0,0,0,1,81.75,46,95,52,0,0,0,0,0,0,2,92,2,190,-1,-1,1,20,301268,0,301268,301268,56600000,0,56600000,56600000,BENIGN
53,62963,1,1,47,79,47,47,47,0,79,79,79,0,2001.175293,31.7646872,62963,0,62963,62963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,15.8823436,15.8823436,47,79,57.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,86.5,47,79,20,0,0,0,0,0,0,1,47,1,79,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
443,15520064,10,10,830,6096,503,0,83,163.4339826,1448,0,609.6,644.9551578,446.2610463,1.28865448,816845.4737,2479283.835,9960006,3,10500000,1168717.889,3297131.849,9960006,230,15400000,1713748.222,3529763.662,10100000,3,0,0,0,0,328,328,0.64432724,0.64432724,0,1448,329.8095238,523.6817372,274242.5619,0,0,0,1,0,0,0,0,1,346.3,83,609.6,328,0,0,0,0,0,0,10,830,10,6096,29200,61,3,32,558455,0,558455,558455,9960006,0,9960006,9960006,BENIGN
443,108,2,0,0,0,0,0,0,0,0,0,0,0,0,18518.51852,108,0,108,108,108,108,0,108,108,0,0,0,0,0,0,0,0,0,40,0,18518.51852,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,255,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
443,62699748,24,17,2380,7408,557,0,99.16666667,173.7746333,1448,0,435.7647059,530.7537717,156.1090804,0.653910124,1567493.7,3610333.511,10200000,6,62700000,2726076,4476140.854,10200000,211,62600000,3915112.313,4944249.191,10200000,48,0,0,0,0,776,552,0.382776658,0.271133466,0,1448,233.047619,394.6233124,155727.5587,0,0,0,1,0,0,0,0,0,238.7317073,99.16666667,435.7647059,776,0,0,0,0,0,0,24,2380,17,7408,29200,83,7,32,400800.1667,857936.1705,2152055,50353,10000000,249899.6892,10200000,9560205,BENIGN
80,373433,3,3,434,1889,434,0,144.6666667,250.5700168,1456,0,629.6666667,747.6578986,6220.660734,16.06713922,74686.6,102165.6614,187735,3,185695,92847.5,131055.8779,185518,177,187968,93984,132909.2048,187965,3,0,0,0,0,72,72,8.03356961,8.03356961,0,1456,331.8571429,536.1711258,287479.4762,0,0,0,1,0,0,0,0,1,387.1666667,144.6666667,629.6666667,72,0,0,0,0,0,0,3,434,3,1889,8192,4814,1,20,0,0,0,0,0,0,0,0,BENIGN
443,6154585,8,6,595,3244,342,0,74.375,128.4633772,1460,0,540.6666667,717.9001788,623.7626095,2.274726891,473429.6154,1652426.29,5972691,1,6154585,879226.4286,2246176.036,5972691,4,102640,20528,31076.50869,71508,1,0,0,0,0,172,132,1.299843937,0.974882953,0,1460,255.9333333,500.5761633,250576.4952,0,0,0,1,0,0,0,0,0,274.2142857,74.375,540.6666667,172,0,0,0,0,0,0,8,595,6,3244,8192,4369,3,20,181890,0,181890,181890,5972691,0,5972691,5972691,BENIGN
443,6372324,6,3,599,137,517,0,99.83333333,205.4511296,137,0,45.66666667,79.09698688,115.499463,1.412357564,796540.5,2052436.913,5868594,3,6372324,1274464.8,2588379.69,5898611,3,473625,236812.5,186737.7085,368856,104769,0,0,0,0,132,72,0.941571709,0.470785855,0,517,73.6,161.7441052,26161.15556,0,0,0,1,0,0,0,0,0,81.77777778,99.83333333,45.66666667,132,0,0,0,0,0,0,6,599,3,137,8192,123,3,20,503727,0,503727,503727,5868594,0,5868594,5868594,BENIGN
443,8,1,1,0,0,0,0,0,0,0,0,0,0,0,250000,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,125000,125000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20,0,0,0,0,0,0,1,0,1,0,64209,33232,0,20,0,0,0,0,0,0,0,0,BENIGN
443,117433938,13,11,613,5534,194,0,47.15384615,68.83052394,1460,0,503.0909091,650.4222405,52.34432315,0.204370222,5105823.391,16800000,58400000,26,117000000,9786161.5,22700000,58400000,218,117000000,11700000,24600000,58400000,192,0,0,0,0,272,232,0.110700537,0.093669685,0,1460,245.88,482.5681575,232872.0267,0,0,0,1,0,0,0,0,0,256.125,47.15384615,503.0909091,272,0,0,0,0,0,0,13,613,11,5534,8192,62,6,20,340438.5,365668.2511,599005,81872,58300000,28574.89213,58400000,58300000,BENIGN
58988,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1000000,1.5,2.121320344,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,32,666666.6667,333333.3333,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,1,0,0,487,0,20,0,0,0,0,0,0,0,0,BENIGN
80,116305832,16,15,386,4089,375,0,24.125,93.56771167,1460,0,272.6,567.8970983,38.47614452,0.266538655,3876861.067,4772982.909,10000000,48,116000000,7753722.133,4300756.36,10200000,1263,113000000,8064525.143,4327336.023,10200000,48,0,0,0,0,332,312,0.137568338,0.128970317,0,1460,139.84375,407.3754003,165954.7167,0,0,0,1,0,0,0,0,0,144.3548387,24.125,272.6,332,0,0,0,0,0,0,16,386,15,4089,8192,4755,12,20,260317.9091,72896.06143,480101,237956,10000000,4177.411624,10000000,9998340,BENIGN
443,115653189,21,18,716,7531,353,0,34.0952381,88.05390665,2920,0,418.3888889,869.0069477,71.30802074,0.337215085,3043504.974,4583377.617,10100000,18,116000000,5782659.45,4947836.005,10100000,49,110000000,6493954.471,4936048.794,10100000,193,0,0,0,0,432,504,0.181577354,0.155637732,0,2920,206.175,609.0763452,370973.9942,0,0,0,1,0,0,0,0,0,211.4615385,34.0952381,418.3888889,432,0,0,0,0,0,0,21,716,18,7531,8192,123,15,20,27197.91667,17519.93108,82830,21946,9610563.75,1378431.086,10100000,5233812,BENIGN
53,30504,1,1,38,70,38,38,38,0,70,70,70,0,3540.519276,65.56517178,30504,0,30504,30504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,32.78258589,32.78258589,38,70,48.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,73,38,70,20,0,0,0,0,0,0,1,38,1,70,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
53,30654,1,1,46,95,46,46,46,0,95,95,95,0,4599.725974,65.24434005,30654,0,30654,30654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,32.62217003,32.62217003,46,95,62.33333333,28.29016319,800.3333333,0,0,0,0,0,0,0,0,1,93.5,46,95,20,0,0,0,0,0,0,1,46,1,95,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
53,30803,1,1,50,190,50,50,50,0,190,190,190,0,7791.448885,64.92874071,30803,0,30803,30803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,32.46437035,32.46437035,50,190,96.66666667,80.82903769,6533.333333,0,0,0,0,0,0,0,0,1,145,50,190,20,0,0,0,0,0,0,1,50,1,190,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
53,30513,1,1,51,112,51,51,51,0,112,112,112,0,5341.985383,65.54583292,30513,0,30513,30513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32.77291646,32.77291646,51,112,71.33333333,35.21836642,1240.333333,0,0,0,0,0,0,0,0,1,107,51,112,32,0,0,0,0,0,0,1,51,1,112,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
49437,244692,2,0,0,0,0,0,0,0,0,0,0,0,0,8.173540614,244692,0,244692,244692,244692,244692,0,244692,244692,0,0,0,0,0,0,0,0,0,40,0,8.173540614,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,364,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
53,230264,1,1,101,133,101,101,101,0,133,133,133,0,1016.224855,8.685682521,230264,0,230264,230264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4.34284126,4.34284126,101,133,111.6666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,167.5,101,133,20,0,0,0,0,0,0,1,101,1,133,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
443,91777,5,5,1379,482,811,0,275.8,369.8928223,345,0,96.4,151.1036068,20277.41155,108.9597612,10197.44444,14862.86208,30175,145,61067,15266.75,17358.33197,30468,191,61792,15448,17360.02634,30598,412,0,0,0,0,112,112,54.47988058,54.47988058,0,811,169.1818182,273.9630698,75055.76364,0,0,0,1,0,0,0,0,1,186.1,275.8,96.4,112,0,0,0,0,0,0,5,1379,5,482,8192,136,3,20,0,0,0,0,0,0,0,0,BENIGN
443,15393400,9,8,820,5747,488,0,91.11111111,166.3335838,3056,0,718.375,1248.576096,426.6114049,1.104369405,962087.5,2645670.317,9800583,3,10400000,1300751.75,3435151.944,9800583,158,15300000,2181407.286,3933059.077,10100000,3,0,0,0,0,192,184,0.584666156,0.519703249,0,3056,364.8333333,872.4975139,761251.9118,0,0,0,1,0,0,0,0,0,386.2941176,91.11111111,718.375,192,0,0,0,0,0,0,9,820,8,5747,8192,123,4,20,605431,0,605431,605431,9800583,0,9800583,9800583,BENIGN
49311,436,2,0,0,0,0,0,0,0,0,0,0,0,0,4587.155963,436,0,436,436,436,436,0,436,436,0,0,0,0,0,0,0,0,0,40,0,4587.155963,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
80,5225988,4,4,420,532,420,0,105,210,532,0,133,266,182.1665109,1.530811016,746569.7143,1812233.61,4854811,57,371177,123725.6667,134145.4593,272920,13062,5140850,1713616.667,2845937.868,4999664,42628,0,0,0,0,92,92,0.765405508,0.765405508,0,532,105.7777778,211.7556244,44840.44444,0,0,0,1,0,0,0,0,1,119,105,133,92,0,0,0,0,0,0,4,420,4,532,8192,60,1,20,0,0,0,0,0,0,0,0,BENIGN
80,5250262,4,4,420,532,420,0,105,210,532,0,133,266,181.3242844,1.523733482,750037.4286,1790906.246,4808788,5,441474,147158,185582.9105,355804,513,5165110,1721703.333,2839661.759,5000660,78865,0,0,0,0,92,92,0.761866741,0.761866741,0,532,105.7777778,211.7556244,44840.44444,0,0,0,1,0,0,0,0,1,119,105,133,92,0,0,0,0,0,0,4,420,4,532,8192,60,1,20,0,0,0,0,0,0,0,0,BENIGN
80,171,2,0,0,0,0,0,0,0,0,0,0,0,0,11695.90643,171,0,171,171,171,171,0,171,171,0,0,0,0,0,0,0,0,0,40,0,11695.90643,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,253,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
80,5206427,4,4,420,532,420,0,105,210,532,0,133,266,182.8509264,1.536562406,743775.2857,1791706.719,4804113,107,402314,134104.6667,164012.9186,317118,410,5121748,1707249.333,2852120.835,5000474,36209,0,0,0,0,92,92,0.768281203,0.768281203,0,532,105.7777778,211.7556244,44840.44444,0,0,0,1,0,0,0,0,1,119,105,133,92,0,0,0,0,0,0,4,420,4,532,8192,60,1,20,0,0,0,0,0,0,0,0,BENIGN
443,5158664,6,4,599,137,517,0,99.83333333,205.4511296,137,0,34.25,68.5,142.672599,1.938486399,573184.8889,1675131.434,5039893,2,5158664,1031732.8,2274512.588,5100422,3,95366,31788.66667,35911.05476,70743,2,0,0,0,0,132,92,1.163091839,0.77539456,0,517,66.90909091,155.040288,24037.49091,0,0,0,1,0,0,0,0,0,73.6,99.83333333,34.25,132,0,0,0,0,0,0,6,599,4,137,8192,60,3,20,118768,0,118768,118768,5039893,0,5039893,5039893,BENIGN
80,15140496,6,5,2895,1070,1453,0,482.5,747.1082251,671,0,214,308.408009,261.8804562,0.726528378,1514049.6,3299867.612,9800601,58,10100000,2026901.6,4346369.472,9800601,17913,15100000,3779263.25,4762260.608,10000000,42520,0,0,0,0,132,124,0.396288206,0.330240172,0,1453,330.4166667,563.0300264,317002.8106,0,0,0,1,0,0,0,0,0,360.4545455,482.5,214,132,0,0,0,0,0,0,6,2895,5,1070,8192,35,3,20,333907,0,333907,333907,9800601,0,9800601,9800601,BENIGN
80,52134467,45,75,11543,104211,888,0,256.5111111,406.8467224,2920,0,1389.48,660.716449,2220.296987,2.301740229,438104.7647,1857030.368,10000000,17,51300000,1166669.205,2938671.637,10100000,233,52100000,703839.8243,2343865.991,10100000,46,0,0,0,0,912,1548,0.863152586,1.438587643,0,2920,956.6446281,799.0205135,638433.781,0,0,0,1,0,0,0,0,1,964.6166667,256.5111111,1389.48,912,0,0,0,0,0,0,45,11543,75,104211,8192,196,16,20,277975,196470.938,539819,50307,8277599.167,1895208.069,10000000,6263552,BENIGN
443,470079,6,12,1613,6702,1093,0,268.8333333,425.4251599,1460,0,558.5,683.6544183,17688.51619,38.29143612,27651.70588,41766.87429,102085,1,280636,56127.2,51092.30846,105132,417,383337,34848.81818,48203.65312,104026,1,0,0,0,0,132,244,12.76381204,25.52762408,0,1460,437.6315789,604.7928213,365774.3567,0,0,0,1,0,0,0,0,2,461.9444444,268.8333333,558.5,132,0,0,0,0,0,0,6,1613,12,6702,8192,65535,3,20,0,0,0,0,0,0,0,0,BENIGN
80,106,2,0,0,0,0,0,0,0,0,0,0,0,0,18867.92453,106,0,106,106,106,106,0,106,106,0,0,0,0,0,0,0,0,0,40,0,18867.92453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,255,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
443,44424459,4,0,37,0,37,0,9.25,18.5,0,0,0,0,0.832874521,0.090040489,14800000,25600000,44400000,29,44400000,14800000,25600000,44400000,29,0,0,0,0,0,0,0,0,0,80,0,0.090040489,0,0,37,7.4,16.54690303,273.8,0,0,0,0,1,0,0,0,0,9.25,9.25,0,80,0,0,0,0,0,0,4,37,0,0,65535,-1,1,20,48,0,48,48,44400000,0,44400000,44400000,BENIGN
