Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
73.000000,1.239048,0.293284,0.086472,1.178277,0.373344,0.325596,0.119319,-0.025476,0.173211,-0.154186,-1.089323,0.870714,1.177662,-0.217738,-0.161084,-0.533763,-0.108368,-0.848425,-0.056693,-0.103570,-0.148136,-0.111893,-0.173207,-0.714729,0.817360,-0.263843,0.047777,0.008735,1.000000,0
74.000000,1.038370,0.127486,0.184456,1.109950,0.441699,0.945283,-0.036715,0.350995,0.118950,-0.243289,0.578063,0.674730,-0.534231,0.446601,1.122885,-1.768001,1.241157,-2.449500,-1.747255,-0.335520,0.102520,0.605089,0.023092,-0.626463,0.479120,-0.166937,0.081247,0.001192,1.180000,0
74.000000,1.038370,0.127486,0.184456,1.109950,0.441699,0.945283,-0.036715,0.350995,0.118950,-0.243289,0.578063,0.674730,-0.534231,0.446601,1.122885,-1.768001,1.241157,-2.449500,-1.747255,-0.335520,0.102520,0.605089,0.023092,-0.626463,0.479120,-0.166937,0.081247,0.001192,1.180000,0
84.000000,-0.481376,1.003407,0.906184,-0.423864,0.760671,0.377627,0.587373,0.133884,-0.207871,-0.240405,-1.453261,-0.526596,0.073845,0.087350,1.230576,0.311246,-0.620259,-0.329208,0.187643,0.082303,-0.277507,-0.752696,-0.145992,-1.353515,-0.095516,0.175811,0.144228,0.099683,4.990000,0
118.000000,1.431053,-0.648101,-0.331664,-1.207383,-0.012786,0.704440,-0.732126,0.183139,-0.878334,0.767906,0.057419,-0.591459,0.004514,0.048051,0.442392,1.531117,-0.325105,-0.724349,1.099846,0.100777,0.112749,0.222296,-0.244591,-1.688158,0.609778,-0.088366,0.010438,-0.014499,20.000000,0
140.000000,-3.222745,-1.932776,2.923242,0.143574,0.948117,-1.076456,0.811226,-1.170683,1.363753,0.675724,-0.033947,-0.308436,-0.035349,-1.655010,0.505014,0.264901,-1.001586,-0.217746,-0.394364,-1.786736,-0.657897,0.983985,1.304693,0.804414,0.686028,0.455321,-0.373342,-1.325164,11.000000,0
145.000000,-2.419486,1.949346,0.552998,0.982710,-0.284815,2.411200,-1.398537,-0.188922,0.675695,0.158123,-1.224834,1.314398,0.304425,-0.290434,-2.014511,-0.772540,0.696610,0.017855,2.177312,-0.277406,1.213390,-1.238354,0.007191,-1.724175,0.239721,-0.313607,-0.187431,0.119472,6.740000,0
164.000000,1.212057,0.246405,0.309166,0.584744,-0.381581,-0.764968,-0.067783,-0.012991,-0.110617,-0.091448,1.498999,0.513746,-0.627262,0.062088,0.478131,0.711876,-0.213038,0.291523,0.097166,-0.117856,-0.244625,-0.781194,0.125372,0.268166,0.160143,0.079645,-0.032015,0.019052,2.280000,0
169.000000,-4.066862,-5.081215,-0.116908,-1.312829,2.688762,2.755895,-1.999095,1.726413,-0.413594,-0.769343,-1.265963,-0.306976,0.096136,-0.581299,-1.597358,1.213666,0.298187,-0.604048,0.534228,1.876937,0.794926,0.294823,0.429791,1.059320,0.606301,-0.183101,-0.057777,-0.532404,355.510000,0
190.000000,-1.505779,-0.215325,1.991294,-1.631493,-0.635965,0.228414,-0.034266,0.042696,-0.235440,0.164740,-1.518288,-0.317422,1.120535,-1.524785,-1.218546,1.063014,0.044391,-1.340806,0.715632,0.232752,-0.101938,0.148146,-0.450115,-0.396558,0.554224,-0.340493,-0.335618,-0.413379,82.290000,0
196.000000,-0.278288,0.866214,-0.300620,-1.117345,2.542242,3.270646,0.117003,0.934686,-0.503871,-0.445162,-0.010315,-0.332581,-0.079644,-0.258721,1.097530,0.715429,-0.482518,0.323554,0.282821,0.221469,-0.320542,-1.005672,-0.055449,0.935790,-0.007564,0.088109,0.248043,0.090837,0.890000,0
199.000000,1.187706,-0.141019,0.563459,0.766383,0.151071,1.596937,-0.742475,0.458518,0.669476,-0.089759,-0.329413,0.956380,0.741040,-0.339640,-0.199562,0.462226,-0.877942,0.485550,0.367603,-0.064767,-0.090517,-0.023452,-0.207477,-1.686137,0.559743,-0.291580,0.086083,0.008422,9.990000,0
206.000000,-0.370563,0.599810,0.216683,-0.513093,2.697143,3.882795,0.295545,0.850059,-0.297189,0.191990,-0.925471,-0.369425,-0.377794,-0.493814,-1.481336,0.684362,-1.048205,-0.256700,-0.859906,0.113890,-0.147920,-0.176214,-0.120575,1.042297,-0.391705,0.675405,0.163595,-0.004997,10.270000,0
209.000000,-5.852465,5.267376,-1.761895,-1.441250,-0.988529,-0.672187,0.075760,0.774198,3.580112,6.510779,1.276496,0.837057,0.377257,-1.614809,0.534728,0.416673,-0.541828,0.228258,-0.243879,2.983262,-0.910910,-1.204988,0.215766,-0.498066,1.125918,0.201450,2.468867,1.573084,8.970000,0
242.000000,-0.398935,0.941953,1.359288,0.013490,-0.191940,-0.824441,0.474948,0.175557,-0.362987,-0.283274,1.325202,-0.396477,-2.020690,0.181072,0.399853,0.614077,-0.052883,0.537637,0.135446,-0.012258,-0.222210,-0.704461,0.020807,0.429138,-0.286397,0.048579,0.229096,0.085802,2.690000,0
251.000000,1.071813,-0.249927,0.189825,0.191109,-0.615779,-1.074104,0.213633,-0.322513,0.046084,-0.192352,-0.145525,0.571661,0.891624,0.108959,0.977414,0.209149,-0.348370,-0.459604,-0.087734,0.214074,0.095918,0.089349,-0.159514,0.487009,0.365901,1.056073,-0.101425,0.022797,120.000000,0
256.000000,-1.377245,0.714823,2.507513,0.865082,-0.290489,1.077328,0.032507,0.510946,0.717788,-0.256418,0.316424,0.759521,-1.439421,-0.592773,-2.397141,-1.072539,0.615996,-0.581451,0.714980,-0.125335,-0.341853,-0.606731,-0.099740,-0.009123,0.328379,-0.506683,-0.032235,0.139841,13.530000,0
266.000000,1.289673,-0.694399,0.986683,-0.626997,-1.561741,-0.612824,-0.949037,0.068872,-0.744016,0.825568,1.277463,0.281344,-0.368154,0.218535,0.578280,-0.719649,-0.341212,1.582472,-0.667819,-0.485382,-0.411943,-0.812048,0.217873,0.515077,-0.174402,0.828402,-0.039262,0.013061,14.900000,0
290.000000,-0.487234,0.505825,0.880670,0.972986,0.823367,0.287738,0.725039,0.021040,-0.268138,-0.367036,-2.166287,-0.445541,-0.016438,-0.039178,-0.090300,-0.384982,-0.260996,0.243463,1.329327,0.220836,-0.052209,-0.129567,-0.177153,-1.004116,0.169317,-0.234252,0.129244,0.139251,67.360000,0
298.000000,1.218417,0.077792,0.533944,0.843849,-0.536022,-0.702281,0.006656,-0.153411,0.421584,-0.204986,-0.615401,0.620960,0.238575,-0.122444,-0.240002,-0.294719,0.016760,-0.746129,0.214193,-0.087689,-0.224558,-0.466722,0.003663,0.438026,0.460760,0.267056,-0.021916,0.014812,13.990000,0
354.000000,-0.687099,0.790436,2.242424,2.406462,0.359712,0.279410,0.103677,0.399071,-1.518733,0.601268,1.389774,-0.191893,-1.279076,0.680096,0.689692,0.276206,-0.089012,-0.065772,0.079882,0.056871,-0.146194,-0.702303,0.088038,0.138006,-0.129553,-0.141250,-0.011386,-0.006344,11.380000,0
358.000000,-0.424666,0.554293,1.374234,-0.447451,0.288248,-1.082536,0.969035,-0.347446,-0.109678,-0.258587,-0.328433,0.315485,0.755612,-0.301423,0.280566,0.311838,-0.813543,-0.384038,-0.822538,0.240344,-0.023296,0.103502,0.024513,0.425008,-0.227746,0.182264,0.076720,-0.098667,41.640000,0
362.000000,-0.692699,0.291548,1.575228,-1.219400,-0.302257,0.670790,0.333059,0.153875,1.198541,-1.473882,-1.390194,-0.021876,-0.242529,-0.273345,1.328582,-1.160033,0.280767,0.320173,1.588532,0.023361,0.128170,0.679179,-0.516105,-0.869866,0.643628,-0.297472,0.063828,0.042908,79.000000,0
379.000000,-1.896099,-1.829046,1.181222,3.897846,-1.686469,1.976371,-0.564107,-2.400465,-0.979202,-0.284724,0.284799,0.592319,-0.653926,0.510773,-0.545064,0.309555,0.259247,0.660470,0.978843,2.538636,-0.936346,-0.516626,-0.911682,0.025106,0.656699,0.200868,-0.088994,0.339814,881.130000,0
389.000000,1.228478,-1.097948,1.629013,-0.005550,-1.969868,0.250276,-1.381782,0.174507,0.641162,0.208170,-1.388043,0.927180,0.954276,-1.436661,-1.788216,-2.038942,0.723705,0.589067,-0.108608,-0.412463,-0.526064,-0.566475,0.045969,0.475350,0.164650,1.069437,0.027740,0.026680,29.950000,0
394.000000,-0.553092,1.667591,-0.047357,0.514249,0.589388,-0.635411,1.126611,-0.311882,0.035247,1.704936,1.112336,0.616777,0.217651,0.093269,0.051643,-0.471140,-0.700958,0.351666,0.709549,0.577734,-0.033537,0.687658,-0.076693,0.014810,-0.590713,-0.482998,0.137717,-0.334915,1.550000,0
406.000000,-0.814054,1.538222,1.115690,-0.051667,0.092334,-1.013398,0.748851,-0.124814,-0.207407,0.072842,0.058285,0.639903,1.428942,-0.830482,0.782318,0.278964,-0.083626,-0.333308,-0.158429,0.445199,-0.311452,-0.627544,-0.016469,0.363403,-0.014631,0.076914,0.467478,0.228123,1.980000,0
410.000000,-1.086133,-0.704548,2.329021,-0.885715,0.617677,0.478894,-0.267414,0.354042,0.558999,-0.788078,1.237452,1.360273,0.170854,-0.697621,-1.203924,-0.465260,0.055994,-1.002350,-0.565232,0.188552,0.021119,0.213192,0.186858,-0.207543,-0.701080,0.737603,-0.093269,-0.085372,39.770000,0
427.000000,-0.856567,0.842156,1.716677,-0.016178,1.054486,-0.440338,1.463574,-0.378757,-0.728544,0.042132,1.471733,-0.206399,-1.690501,0.476756,-0.136424,-0.318365,-0.551951,-0.188746,-0.857468,-0.101960,0.049032,0.297741,-0.456502,0.197724,0.610523,-0.420531,-0.458258,-0.381306,12.980000,0
430.000000,-1.647248,1.627046,0.828098,-1.192708,-1.218394,-1.547978,-0.063065,0.635641,0.564945,0.052423,-0.250583,0.020230,-0.763353,0.314848,0.556575,0.626997,-0.248345,-0.452638,-1.053111,0.179014,-0.136868,-0.285386,0.149182,0.924095,-0.176509,0.682287,0.072508,-0.095067,2.310000,0
434.000000,-0.679293,1.120837,1.319394,1.249827,1.147786,-0.086534,1.001436,-0.039752,-1.374497,0.012874,-1.627086,-0.498174,0.539217,0.057768,-0.153202,0.992143,-1.212355,0.099774,-1.110998,-0.011141,0.067521,0.030112,-0.296954,-0.619850,0.282799,-0.059404,0.048695,0.109200,25.030000,0
442.000000,-0.627617,0.841974,0.840728,-1.351059,0.182650,-0.484541,0.465110,0.181788,-0.074016,-0.774767,-0.766203,-0.093228,-0.021443,0.156261,0.677262,0.382874,-0.470945,-0.710725,-0.847332,-0.215994,-0.022654,-0.101469,-0.083594,-0.387958,-0.298916,0.771190,-0.467113,-0.271084,2.230000,0
463.000000,1.298898,-1.050674,-0.301587,-2.698140,-1.081625,-0.983307,-0.365931,-0.099132,0.618335,-0.605325,1.459086,1.006454,-0.967428,0.627582,0.558910,-3.139269,0.712543,1.216328,0.454500,-0.551491,-0.270855,-0.123874,-0.113170,0.224146,0.729243,-0.658224,0.073130,0.006890,37.570000,0
495.000000,-0.239505,-3.940241,-0.147576,-0.671347,-2.239256,0.908178,-0.377398,0.157943,-1.595928,0.987881,1.225026,-0.139996,-0.453948,-0.111467,-0.490358,-0.973998,1.248488,-0.588332,-0.509182,1.217690,0.076296,-1.132178,-0.486820,-0.302911,-0.304121,-0.469811,-0.077517,0.151745,834.840000,0
514.000000,-1.045042,0.957421,1.388023,0.195389,-0.327385,-0.643710,0.521262,0.174238,0.063058,-0.373988,-0.957854,-0.049541,-0.576467,-0.013987,-0.359349,-0.359775,0.143463,-0.467881,0.389909,0.022505,-0.182403,-0.311953,-0.140268,0.400592,-0.050207,0.201240,-0.092265,-0.134806,30.490000,0
523.000000,-0.421665,0.348353,1.750223,0.546512,0.461304,1.439793,0.452613,0.319216,-0.046137,-0.376573,0.486983,0.161995,-0.794322,-0.037659,1.264896,-2.176004,1.664388,-2.423963,-0.298391,0.038117,-0.015406,0.378305,0.138206,-0.598534,-0.776517,0.526562,0.007711,-0.094513,42.640000,0
530.000000,1.217261,-0.080646,-0.059293,-0.868862,-0.236628,-0.700159,0.143747,-0.111374,0.790809,-0.895456,1.837534,1.977773,0.455351,0.400479,0.135557,-1.313351,0.207927,-0.409951,0.676098,-0.126243,0.081582,0.534693,-0.159644,0.296812,0.855793,-0.553063,0.054274,0.001410,1.000000,0
532.000000,-0.681072,0.926831,1.871161,0.923397,-0.438215,0.110163,0.918259,-0.222899,-0.040360,0.239503,1.039842,0.386524,-0.983549,-0.061620,-0.602062,-0.580104,-0.077508,0.190753,1.109216,-0.087599,-0.119718,-0.131065,-0.112667,0.518059,-0.330417,-0.581855,-0.363707,-0.111442,75.170000,0
549.000000,1.422461,-0.547422,-0.147438,-0.615979,-0.677018,-0.825597,-0.295487,-0.237954,-0.639154,0.590816,-1.034476,-0.957040,-0.476745,-0.111483,-0.131444,0.698356,0.474285,-1.427978,0.999716,0.064031,0.122827,0.342161,-0.236404,-0.077528,0.828618,-0.034126,-0.017271,0.000946,30.000000,0
550.000000,-1.203351,1.774641,0.299300,-0.418265,0.484617,0.071523,0.046899,-1.492543,0.308865,0.271295,-1.532808,-0.702163,-0.258116,-0.485220,1.057280,0.787660,-0.357701,0.382133,0.350550,0.035568,1.100059,-1.561118,0.054078,-1.119103,0.145057,0.182843,0.528716,0.218048,2.670000,0
554.000000,0.270554,0.521380,0.572349,1.191704,0.448293,1.226615,-0.158829,-0.555251,-0.260997,0.038712,0.111649,0.600397,-0.246067,0.378191,-0.245332,-0.535908,-0.003625,0.083869,1.222360,-0.086865,0.664678,-0.406256,-0.354156,-1.126432,1.005675,-0.069797,0.200925,0.200622,35.950000,0
561.000000,1.214872,0.307970,0.278629,0.642981,-0.185161,-0.603602,0.006881,-0.064239,0.030872,-0.325988,0.152765,0.313115,0.192870,-0.256774,1.347209,0.186607,0.273777,-0.746653,-0.556364,-0.115172,-0.260682,-0.716148,0.159804,0.033516,0.143170,0.124259,-0.006506,0.027226,0.890000,0
564.000000,-2.422708,2.544338,-0.509210,0.084550,-1.431677,-1.265684,-0.776953,1.697062,-0.399877,-0.466413,-0.836636,0.264950,-0.246808,0.747364,0.856408,0.844407,0.689971,0.039768,-0.196732,0.009865,-0.196938,-0.855361,0.224607,0.305455,0.065001,0.096890,0.072786,0.004235,9.990000,0
604.000000,-0.197643,0.621120,2.241086,3.243027,-0.086645,1.379656,-0.219907,0.334867,-0.088410,0.303873,-2.143586,0.547358,1.181693,-1.198439,-1.687658,-0.765342,0.483279,-0.226158,1.853552,0.230443,-0.174403,-0.030265,-0.002859,-0.403612,-0.692032,0.097926,0.270210,0.206081,26.570000,0
605.000000,-1.406838,0.996384,1.886244,-0.126792,-0.049197,0.056795,0.629037,-0.524578,1.199053,0.902970,-1.075238,-0.146149,0.234694,-1.240699,0.005207,-0.266295,-0.548294,0.010171,0.298446,0.240193,0.017660,0.575681,-0.345084,-0.050338,0.040907,0.382420,-0.723943,-0.095763,17.500000,0
608.000000,-0.290389,-0.315750,1.365425,-1.008311,-0.581263,-0.297351,-0.293730,0.012441,-2.980624,1.347653,0.106844,-1.694468,-0.809826,0.291556,1.680190,-2.165105,2.083622,-0.741565,0.891132,-0.126469,-0.027130,0.301992,-0.159177,0.078367,0.164979,0.244876,0.101683,0.067289,15.000000,0
608.000000,-4.130219,3.794249,-1.928831,0.048061,-2.532346,-1.469961,-1.866922,3.007835,-0.332471,-0.215929,-1.210312,0.776462,-0.058094,1.485661,0.786828,1.151754,1.168683,0.104137,-0.304503,0.066023,-0.160842,-0.961563,0.383984,0.293528,0.283096,0.115836,0.011618,-0.003323,11.970000,0
610.000000,1.162241,-0.294348,0.568070,-0.043952,-0.742352,-0.360376,-0.431916,0.055501,0.255827,0.013595,1.044156,0.561700,-0.166839,0.283113,0.678205,0.828458,-0.792267,0.529375,0.207061,0.030410,0.129635,0.264745,-0.105011,0.081855,0.222889,1.070107,-0.074968,0.003697,47.850000,0
630.000000,1.315818,0.407945,-0.023868,0.486155,0.131546,-0.567519,0.140781,-0.210138,-0.069967,-0.312564,-0.636851,0.519825,1.429554,-0.548093,1.039442,0.673845,-0.370859,-0.154858,0.110833,0.014540,-0.330541,-0.898109,0.012714,-0.466751,0.363822,0.142918,-0.017303,0.024611,1.980000,0
672.000000,-1.613770,1.022517,2.168593,1.405020,-0.577408,0.997331,-0.164182,0.538851,1.133250,0.799311,0.640068,0.815979,-1.389834,-0.708586,-1.870657,-1.563561,0.970751,-0.577529,1.475794,0.275349,-0.428487,-0.418787,-0.063281,0.204512,-0.088541,-0.467087,-0.073261,-0.186952,7.950000,0
674.000000,-1.157098,0.580680,1.609152,-2.520580,-0.750507,-0.083799,-0.244765,0.782296,0.695479,-1.643291,1.088714,0.738910,-0.609025,0.538485,1.345563,0.042929,-0.280092,0.607962,0.459493,0.013304,0.130641,0.344185,-0.212396,-0.287214,0.279330,-0.027330,0.182210,0.055354,24.900000,0
683.000000,0.658816,-1.255823,0.746190,0.194524,-1.257065,0.153264,-0.407029,0.118008,0.770706,-0.359188,0.817687,1.228996,0.432688,-0.277063,-0.383262,0.475415,-0.456996,0.227974,0.555315,0.547437,0.084679,-0.213926,-0.243388,0.097277,0.035330,0.962775,-0.088750,0.052076,287.570000,0
688.000000,1.111374,-0.316968,0.967230,0.778212,-0.839517,0.036541,-0.528054,0.064768,0.885291,-0.280177,-1.126959,0.531524,0.648342,-0.526059,0.191371,0.303517,-0.396609,-0.110330,0.140783,0.063136,-0.087394,-0.157865,-0.090201,-0.087804,0.322522,0.342063,0.008855,0.032722,64.990000,0
730.000000,-3.457666,-2.958796,1.397515,-0.395490,-0.186259,-0.407006,0.384980,0.229338,0.836471,-0.547605,0.447671,0.298204,-0.835069,-0.310723,-0.745762,0.852458,-0.748163,0.496480,-0.066736,0.643696,-0.026044,-0.219128,0.619353,0.057858,0.162335,0.869620,0.304378,0.625509,500.000000,0
752.000000,-2.101171,-0.227365,1.624668,-0.291123,1.902446,-1.483921,-0.275117,0.085964,-0.563098,-0.376024,1.232299,0.834265,0.523792,-0.389664,-0.090364,0.900605,-0.612590,0.294092,-0.232595,-0.134549,-0.313782,-0.804784,-0.474101,0.008102,0.259725,0.032376,0.323580,0.034622,1.780000,0
755.000000,-2.497436,1.402769,0.184840,-2.504117,-0.111803,-0.902909,0.110183,-3.655788,2.231761,0.674165,0.182281,-0.284065,-2.009147,0.107970,1.523950,-1.238204,0.313090,-0.610701,0.027192,-0.417931,2.777155,-0.664909,0.594689,0.330380,0.064190,-0.110533,0.672165,0.114739,8.000000,0
763.000000,1.072072,-0.207422,1.081835,1.314152,-1.026689,-0.138141,-0.576520,0.231974,0.730992,0.031653,0.804497,0.404779,-1.596216,0.229060,-0.497928,0.110221,-0.277995,0.610190,-0.018846,-0.187897,0.150683,0.518651,-0.128148,0.526518,0.536506,-0.242729,0.043057,0.022324,29.950000,0
766.000000,1.131764,-0.113350,1.162708,1.154105,-0.792808,0.300711,-0.688303,0.274334,0.699426,-0.023938,0.561302,0.905335,-0.287633,-0.124030,-0.466231,0.384716,-0.602417,0.576913,0.205008,-0.130305,-0.035484,0.054499,-0.055440,-0.012587,0.418718,-0.404523,0.066269,0.024134,9.990000,0
788.000000,-1.684144,0.421962,2.601415,-0.412067,0.295015,-0.237649,0.354751,-0.337424,1.081757,0.309250,-0.924440,0.115258,0.439099,-1.314407,-0.239662,0.171255,-0.783956,-0.202817,-0.382512,0.168490,-0.248515,-0.060966,-0.420462,0.082512,0.363607,0.188348,-0.376011,-0.055707,5.420000,0
792.000000,-2.496329,1.157444,3.770236,-0.230246,0.007065,0.506341,1.629152,-2.267294,4.304904,4.079995,-0.190426,-0.684912,-1.255842,-3.886751,-1.265828,-1.880036,-0.488425,-0.903021,0.575994,1.035690,-0.594643,0.105965,-0.558559,0.732507,0.069949,-0.030734,-2.887661,-1.683655,3.370000,0
810.000000,-0.301264,-0.172523,1.950701,-1.603294,-0.978847,-0.796556,-0.313462,-0.177172,-2.759665,1.051018,-0.452272,-0.955688,1.067093,-0.477597,0.732674,-0.816483,0.782776,0.146904,0.647283,-0.089143,-0.144515,-0.039137,-0.224903,0.384370,0.241106,-0.074114,0.089497,0.077393,6.000000,0
866.000000,0.893573,-0.315898,0.263384,1.323665,-0.153240,0.602035,-0.101911,0.341776,0.272539,0.005365,1.106409,0.410751,-1.915374,0.650450,-0.342954,-0.733845,0.397841,-0.713529,-0.463182,-0.128266,0.016298,-0.014152,-0.107098,-0.320423,0.465866,-0.304487,0.023919,0.015180,102.900000,0
897.000000,-0.395115,0.607197,1.416013,-0.239631,-0.206378,0.061775,0.535386,0.058800,-0.048408,-0.486505,0.548197,0.849345,0.031424,-0.216347,-1.236932,-0.197221,-0.243658,0.126536,0.871089,-0.036989,0.020585,0.205178,-0.251440,0.090647,0.114307,0.620850,-0.131471,-0.012454,42.350000,0
904.000000,1.177107,-0.877197,0.334957,-0.505469,-0.999292,-0.214331,-0.590595,0.085636,-0.684642,0.625527,1.363511,0.077239,-0.877091,-0.007840,-0.940098,0.357818,0.867207,-1.668813,0.774876,0.098356,0.176109,0.429391,-0.110342,0.250072,0.507079,-0.150358,0.001651,0.006636,75.130000,0
937.000000,-1.828963,-0.435096,1.080584,-0.302160,-0.073307,-0.826725,0.363305,0.500961,-0.558111,-1.041123,0.774814,0.841300,-0.339021,0.557327,-0.939875,0.362471,-0.337535,0.074963,0.062837,0.389394,0.110096,-0.424113,0.265579,0.333978,-0.091303,0.273795,-0.130056,-0.107374,158.000000,0
943.000000,-0.902734,0.970545,1.220513,0.847062,-0.679818,0.429224,1.542075,-0.159223,-0.887545,-0.012894,0.853163,-0.228155,-0.940611,0.617787,0.810904,-0.033891,-0.378824,0.860235,1.245225,-0.124798,0.069815,0.278215,-0.291627,0.013116,0.466895,-0.156302,-0.045203,-0.024999,213.100000,0
973.000000,1.049389,-0.161076,0.876695,1.462310,-0.576092,0.273662,-0.316977,0.141302,0.888278,-0.337304,-0.790873,0.838734,0.066898,-0.434634,-0.690017,-0.869724,0.439393,-0.906944,-0.215523,-0.102871,-0.057972,0.139182,-0.110205,0.120818,0.616104,-0.278994,0.069169,0.029784,46.390000,0
1051.000000,-0.838376,1.327227,1.037818,-0.056249,-0.087202,-1.126234,1.131148,-0.528432,-0.496186,0.038766,0.067341,0.560419,1.017123,-0.089058,0.491358,-0.273956,-0.245894,-0.626967,-0.051770,-0.114637,0.113111,0.167948,-0.146024,0.789217,0.046817,0.345751,-0.690742,0.021976,36.260000,0
1051.000000,1.205508,0.360417,-0.683729,0.763135,1.037503,0.448717,0.492304,-0.066988,-0.724785,0.169520,0.563049,1.248810,1.508713,0.440332,0.147636,0.065916,-0.870586,-0.048866,0.114030,0.036050,0.032254,0.126974,-0.346144,-1.295445,0.955697,-0.192317,0.002918,-0.006460,41.890000,0
1052.000000,-0.354831,0.678850,1.928599,0.268596,0.214598,-0.135651,0.582577,-0.013028,-0.685510,-0.008244,1.710068,0.172460,-0.974602,0.431314,0.846839,-0.330622,-0.024812,-0.214840,0.590046,0.062845,-0.130071,-0.291571,-0.147517,0.205789,0.027219,0.284555,-0.203203,-0.254254,0.900000,0
1057.000000,-0.744589,1.012387,1.312603,-0.733083,1.092197,0.252506,1.332915,-0.669983,0.648344,1.644251,0.471911,-0.286237,-0.185635,-0.738476,0.452507,0.418406,-1.568037,0.461026,0.750051,0.770428,-0.579940,-0.711885,-0.282800,-1.066938,0.010561,0.041686,-0.072819,-0.590267,12.990000,0
1062.000000,-0.709056,1.138219,1.550885,-0.053419,-0.154221,-0.629894,0.614391,0.084669,-0.160147,-0.038470,0.055957,-0.102926,-0.522269,0.214224,1.144476,-0.185330,0.021388,-0.865092,-0.494947,0.150016,-0.215677,-0.481210,0.065592,0.364427,-0.274937,0.087060,0.388866,0.178313,8.990000,0
1074.000000,-0.295594,1.022747,1.534593,-0.189536,0.417759,-0.545109,0.998968,-0.327714,-0.409308,-0.141326,-0.536793,0.373178,1.369103,-0.349401,0.775206,0.201969,-0.751179,-0.371414,0.195513,0.280125,-0.293893,-0.556324,-0.123407,-0.099532,-0.108294,0.069227,0.107248,-0.103839,8.970000,0
