lat,lng,desc,zip,title,timeStamp,twp,addr,e
40.1706264,-75.3642106,TROOPER RD & SPRING HILL RD; WORCESTER; 2015-12-11 @ 17:14:55;,19403,Traffic: ROAD OBSTRUCTION -,2015-12-11 17:14:55,WORCESTER,TROOPER RD & SPRING HILL RD,1
40.0730140,-75.1316260,OLD YORK RD & SPRING AVE; CHELTENHAM; 2015-12-11 @ 17:56:02-Station:STA5;,19027,Fire: FIRE ALARM,2015-12-11 17:56:02,CHELTENHAM,OLD YORK RD & SPRING AVE,1
40.0945329,-75.1815049,WILLOW GROVE AVE & NEWBOLD LN; CHELTENHAM; 2015-12-11 @ 18:47:18-Station:STA1;,19038,Fire: FIRE ALARM,2015-12-11 18:47:18,CHELTENHAM,WILLOW GROVE AVE & NEWBOLD LN,1
40.0893283,-75.1317412,WASHINGTON LN & TOWNSHIP LINE RD;  ABINGTON; Station 382; 2015-12-11 @ 19:48:13;,19095,EMS: CARDIAC EMERGENCY,2015-12-11 19:48:13,ABINGTON,WASHINGTON LN & TOWNSHIP LINE RD,1
40.3400721,-75.5917092,RAMP RT73 TO RT100  & RT100 SB; DOUGLASS; 2015-12-11 @ 21:11:18;,,Traffic: VEHICLE ACCIDENT -,2015-12-11 21:11:18,DOUGLASS,RAMP RT73 TO RT100  & RT100 SB,1
40.2353731,-75.2247509,STUMP RD & HORSHAM RD;  MONTGOMERY; Station 345A; 2015-12-11 @ 23:58:50;,19454,EMS: HEAD INJURY,2015-12-11 23:58:50,MONTGOMERY,STUMP RD & HORSHAM RD,1
40.1364894,-75.3049702,E GERMANTOWN PIKE & ARCH RD; PLYMOUTH; 2015-12-12 @ 03:36:23;,19401,Traffic: DISABLED VEHICLE -,2015-12-12 03:36:23,PLYMOUTH,E GERMANTOWN PIKE & ARCH RD,1
40.1225220,-75.3635657,FOREST AVE & W LAFAYETTE ST;  NORRISTOWN; Station 308A; 2015-12-12 @ 07:14:07;,19401,EMS: ASSAULT VICTIM,2015-12-12 07:14:07,NORRISTOWN,FOREST AVE & W LAFAYETTE ST,1
40.2497000,-75.1664720,FOUNDERS CT & NEIGHBORS RD;  BUCKS COUNTY; Station EMS; 2015-12-12 @ 10:10:18;,18976,EMS: MEDICAL ALERT ALARM,2015-12-12 10:10:18,BUCKS COUNTY,FOUNDERS CT & NEIGHBORS RD,1
40.0127370,-75.2933297,WINSOR LN & WOODSIDE RD; LOWER MERION; 2015-12-12 @ 11:14:01-Station:STA25;,19041,Fire: FIRE ALARM,2015-12-12 11:14:01,LOWER MERION,WINSOR LN & WOODSIDE RD,1
40.0755363,-75.3046354,3RD AVE & FAYETTE ST; CONSHOHOCKEN; 2015-12-12 @ 12:39:58-Station:STA36;,19428,Fire: FIRE ALARM,2015-12-12 12:39:58,CONSHOHOCKEN,3RD AVE & FAYETTE ST,1
40.0063830,-75.2458400,BOWMAN AVE & MONTGOMERY AVE; LOWER MERION; 2015-12-12 @ 13:43:58;,19066,Traffic: VEHICLE ACCIDENT -,2015-12-12 13:43:58,LOWER MERION,BOWMAN AVE & MONTGOMERY AVE,1
40.1589073,-75.3491611,HAYES RD & WOODLAND AVE;  EAST NORRITON; Station 308B; 2015-12-12 @ 15:02:12;,19403,EMS: FALL VICTIM,2015-12-12 15:02:12,EAST NORRITON,HAYES RD & WOODLAND AVE,1
40.2453507,-75.6395261,KING ST & N WARREN ST;  POTTSTOWN; Station 329; 2015-12-12 @ 15:59:01;,19464,EMS: FRACTURE,2015-12-12 15:59:01,POTTSTOWN,KING ST & N WARREN ST,1
40.1286835,-75.1110735,OLD WELSH RD;  ABINGTON; Station 381; 2015-12-12 @ 16:55:01;,,EMS: VEHICLE ACCIDENT,2015-12-12 16:55:01,ABINGTON,OLD WELSH RD,1
40.2541236,-75.3048020,WELSH RD & ORVILLA RD; HATFIELD TOWNSHIP; 2015-12-12 @ 18:11:52;,19440,Traffic: VEHICLE ACCIDENT -,2015-12-12 18:11:52,HATFIELD TOWNSHIP,WELSH RD & ORVILLA RD,1
40.1077086,-75.2136339,E MILL RD & BETHLEHEM PIKE; SPRINGFIELD; 2015-12-12 @ 19:09:10;,19031,Traffic: DISABLED VEHICLE -,2015-12-12 19:09:10,SPRINGFIELD,E MILL RD & BETHLEHEM PIKE,1
40.2115098,-75.6259104,SCHOOLHOUSE RD & EARL DR;  CHESTER COUNTY; Station 3A84; 2015-12-12 @ 19:44:42;,19465,EMS: FALL VICTIM,2015-12-12 19:44:42,CHESTER COUNTY,SCHOOLHOUSE RD & EARL DR,1
40.0249667,-75.2829046,SCHUYLKILL EXPY & WAVERLY RD UNDERPASS; LOWER MERION; 2015-12-12 @ 21:11:26-Station:STA22;,,Fire: VEHICLE ACCIDENT,2015-12-12 21:11:26,LOWER MERION,SCHUYLKILL EXPY & WAVERLY RD UNDERPASS,1
40.1507107,-75.0552739,FETTERS MILL SQ & FETTERSMILL RD;  LOWER MORELAND; Station 355; 2015-12-12 @ 22:15:05;,,EMS: SYNCOPAL EPISODE,2015-12-12 22:15:05,LOWER MORELAND,FETTERS MILL SQ & FETTERSMILL RD,1
40.1152488,-75.3413789,DEKALB ST; NORRISTOWN; 2015-12-12 @ 23:46:28-Station:STA27;,,Fire: VEHICLE ACCIDENT,2015-12-12 23:46:28,NORRISTOWN,DEKALB ST,1
40.2472977,-75.6552283,KING ST & MANATAWNY ST;  POTTSTOWN; Station 329; 2015-12-13 @ 03:15:32;,19464,EMS: OVERDOSE,2015-12-13 03:15:32,POTTSTOWN,KING ST & MANATAWNY ST,1
40.0956518,-75.2448770,FOX HOUND DR & MARBLE HL;  WHITEMARSH; Station 318; 2015-12-13 @ 07:35:04;,19444,EMS: ABDOMINAL PAINS,2015-12-13 07:35:04,WHITEMARSH,FOX HOUND DR & MARBLE HL,1
40.0864020,-75.2355959,GERMANTOWN PIKE & THOMAS RD; SPRINGFIELD; 2015-12-13 @ 09:32:44-Station:STA6;,19444,Fire: FIRE ALARM,2015-12-13 09:32:44,SPRINGFIELD,GERMANTOWN PIKE & THOMAS RD,1
40.2830545,-75.5508419,SAMANTHA WAY & ST VICTORIA DR;  NEW HANOVER; Station 332; 2015-12-13 @ 11:19:04;,19525,EMS: RESPIRATORY EMERGENCY,2015-12-13 11:19:04,NEW HANOVER,SAMANTHA WAY & ST VICTORIA DR,1
40.2562686,-75.6739615,BERKS ST & E RACE ST;  WEST POTTSGROVE; Station 329; 2015-12-13 @ 12:38:29;,19464,EMS: RESPIRATORY EMERGENCY,2015-12-13 12:38:29,WEST POTTSGROVE,BERKS ST & E RACE ST,1
40.2674901,-75.3763943,MAIN ST & CLEMENS RD; LOWER SALFORD; 2015-12-13 @ 13:59:13-Station:STA89;,19438,Fire: FIRE ALARM,2015-12-13 13:59:13,LOWER SALFORD,MAIN ST & CLEMENS RD,1
40.0051853,-75.2879272,ARGYLE RD & ST PAULS RD; LOWER MERION; 2015-12-13 @ 15:17:25;,19003,Traffic: DISABLED VEHICLE -,2015-12-13 15:17:25,LOWER MERION,ARGYLE RD & ST PAULS RD,1
40.0912840,-75.3732040,DEKALB PIKE & BRANDYWINE LN;  UPPER MERION; Station 317; 2015-12-13 @ 17:01:27;,19406,EMS: SYNCOPAL EPISODE,2015-12-13 17:01:27,UPPER MERION,DEKALB PIKE & BRANDYWINE LN,1
40.0912920,-75.0872124,CLAIRE AVE & LEONA AVE; ABINGTON; 2015-12-13 @ 18:16:02-Station:STA200;,19006,Fire: GAS-ODOR/LEAK,2015-12-13 18:16:02,ABINGTON,CLAIRE AVE & LEONA AVE,1
40.0823492,-75.1613157,GREENWOOD AVE & LIMEKILN PIKE; CHELTENHAM; 2015-12-13 @ 19:21:46;,19095,Traffic: DISABLED VEHICLE -,2015-12-13 19:21:46,CHELTENHAM,GREENWOOD AVE & LIMEKILN PIKE,1
40.3746318,-75.4819693,MAIN ST & W 4TH ST; RED HILL; 2015-12-13 @ 21:15:25;,18076,Traffic: VEHICLE ACCIDENT -,2015-12-13 21:15:25,RED HILL,MAIN ST & W 4TH ST,1
40.2476059,-75.2893634,3RD ST & N CANNON AVE; LANSDALE; 2015-12-13 @ 23:23:42-Station:STA14;,19446,Fire: FIRE ALARM,2015-12-13 23:23:42,LANSDALE,3RD ST & N CANNON AVE,1
40.1462625,-75.3985457,MIDLAND AVE & 3RD ST;  LOWER PROVIDENCE; Station 322; 2015-12-14 @ 04:26:00;,19403,EMS: SEIZURES,2015-12-14 04:26:00,LOWER PROVIDENCE,MIDLAND AVE & 3RD ST,1
40.3129762,-75.6100409,VIRMAY DR; DOUGLASS; 2015-12-14 @ 06:51:14-Station:STA67;,19525,Fire: VEHICLE ACCIDENT,2015-12-14 06:51:14,DOUGLASS,VIRMAY DR,1
40.2031133,-75.2242714,N BETHLEHEM PIKE & LOWER STATE RD; LOWER GWYNEDD; 2015-12-14 @ 07:59:08;,19002,Traffic: DISABLED VEHICLE -,2015-12-14 07:59:08,LOWER GWYNEDD,N BETHLEHEM PIKE & LOWER STATE RD,1
40.1189830,-75.4158970,MONROE BLVD & MADISON AVE;  LOWER PROVIDENCE; Station 322A; 2015-12-14 @ 09:06:52;,19403,EMS: ABDOMINAL PAINS,2015-12-14 09:06:52,LOWER PROVIDENCE,MONROE BLVD & MADISON AVE,1
40.0040432,-75.2432647,CHERRY BND & SYCAMORE AVE;  LOWER MERION; Station 313; 2015-12-14 @ 10:21:03;,19066,EMS: SYNCOPAL EPISODE,2015-12-14 10:21:03,LOWER MERION,CHERRY BND & SYCAMORE AVE,1
40.0855923,-75.3912204,GULPH RD & KIRK AVE; UPPER MERION; 2015-12-14 @ 11:42:33;,19406,Traffic: VEHICLE ACCIDENT -,2015-12-14 11:42:33,UPPER MERION,GULPH RD & KIRK AVE,1
40.1276140,-75.4045820,TROOPER RD & BOULEVARD OF THE GENERALS; LOWER PROVIDENCE; 2015-12-14 @ 12:48:03;,19403,Traffic: DISABLED VEHICLE -,2015-12-14 12:48:03,LOWER PROVIDENCE,TROOPER RD & BOULEVARD OF THE GENERALS,1
40.1330371,-75.4084631,SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2015-12-14 @ 13:41:56;,19403,EMS: CARDIAC EMERGENCY,2015-12-14 13:41:56,LOWER PROVIDENCE,SHANNONDELL DR & SHANNONDELL BLVD,1
40.0972222,-75.3761952,SCHUYLKILL EXPY & E MATSONFORD RD UNDERPASS; UPPER MERION; 2015-12-14 @ 15:03:06;,,Traffic: ROAD OBSTRUCTION -,2015-12-14 15:03:06,UPPER MERION,SCHUYLKILL EXPY & E MATSONFORD RD UNDERPASS,1
40.0949358,-75.3617596,DEKALB PIKE & IVY LN;  UPPER MERION; Station 317; 2015-12-14 @ 16:09:24;,19406,EMS: SYNCOPAL EPISODE,2015-12-14 16:09:24,UPPER MERION,DEKALB PIKE & IVY LN,1
40.1372372,-75.1298295,LAMOTT AVE & REDWOOD AVE;  ABINGTON; Station 381; 2015-12-14 @ 16:49:40;,19090,EMS: UNCONSCIOUS SUBJECT,2015-12-14 16:49:40,ABINGTON,LAMOTT AVE & REDWOOD AVE,1
40.0249667,-75.2829046,BLUEROUTE  & RAMP I76 TO I476 SB; LOWER MERION; 2015-12-14 @ 17:34:28;,,Traffic: VEHICLE FIRE -,2015-12-14 17:34:28,LOWER MERION,BLUEROUTE  & RAMP I76 TO I476 SB,1
40.0931406,-75.3677644,TOWN CENTER RD & W DEKALB PIKE;  UPPER MERION; Station 317; 2015-12-14 @ 18:23:45;,19406,EMS: VEHICLE ACCIDENT,2015-12-14 18:23:45,UPPER MERION,TOWN CENTER RD & W DEKALB PIKE,1
40.3044750,-75.4914826,FOXFIELD CIR & BUCK RD;  UPPER FREDERICK; Station 344A; 2015-12-14 @ 19:17:35;,18074,EMS: OVERDOSE,2015-12-14 19:17:35,UPPER FREDERICK,FOXFIELD CIR & BUCK RD,1
40.1026316,-75.2786731,BUTLER PIKE;  PLYMOUTH; Station 318; 2015-12-14 @ 20:36:22;,,EMS: VEHICLE ACCIDENT,2015-12-14 20:36:22,PLYMOUTH,BUTLER PIKE,1
40.2019766,-75.3030808,WEST POINT PIKE & DEHAVEN DR;  UPPER GWYNEDD; Station 345B; 2015-12-14 @ 22:05:40;,19446,EMS: DIZZINESS,2015-12-14 22:05:40,UPPER GWYNEDD,WEST POINT PIKE & DEHAVEN DR,1
40.1541808,-75.2652905,PHIPPS WAY & PENLLYN BLUE BELL PIKE;  WHITPAIN; Station 385; 2015-12-15 @ 01:07:16;,19422,EMS: MEDICAL ALERT ALARM,2015-12-15 01:07:16,WHITPAIN,PHIPPS WAY & PENLLYN BLUE BELL PIKE,1
40.1890412,-75.4424657,HILDEBIDLE DR & ALLISON CIR;  LOWER PROVIDENCE; Station 322; 2015-12-15 @ 04:54:28;,19426,EMS: FALL VICTIM,2015-12-15 04:54:28,LOWER PROVIDENCE,HILDEBIDLE DR & ALLISON CIR,1
40.2012701,-75.2169831,HEMINGWAY DR & W WELSH RD; LOWER GWYNEDD; 2015-12-15 @ 08:00:32;,19002,Traffic: DISABLED VEHICLE -,2015-12-15 08:00:32,LOWER GWYNEDD,HEMINGWAY DR & W WELSH RD,1
40.0903376,-75.2041557,PATTON RD & FARRELL RD; SPRINGFIELD; 2015-12-15 @ 09:05:27;,19038,Traffic: VEHICLE ACCIDENT -,2015-12-15 09:05:27,SPRINGFIELD,PATTON RD & FARRELL RD,1
40.1337934,-75.1403149,WOODLAND RD & WUNDERLAND RD;  ABINGTON; Station 381; 2015-12-15 @ 09:56:29;,19001,EMS: ALLERGIC REACTION,2015-12-15 09:56:29,ABINGTON,WOODLAND RD & WUNDERLAND RD,1
40.1147453,-75.2854469,GERMANTOWN PIKE & LAUNFALL RD; PLYMOUTH; 2015-12-15 @ 11:01:21;,19462,Traffic: VEHICLE ACCIDENT -,2015-12-15 11:01:21,PLYMOUTH,GERMANTOWN PIKE & LAUNFALL RD,1
40.0951072,-75.1257010,GREENWOOD AVE & YORK RD; JENKINTOWN; 2015-12-15 @ 11:44:15;,19046,Traffic: VEHICLE ACCIDENT -,2015-12-15 11:44:15,JENKINTOWN,GREENWOOD AVE & YORK RD,1
40.1218989,-75.2886415,GERMANTOWN PIKE & WALTON RD;  PLYMOUTH; Station 308; 2015-12-15 @ 12:54:13;,19462,EMS: FALL VICTIM,2015-12-15 12:54:13,PLYMOUTH,GERMANTOWN PIKE & WALTON RD,1
40.2437990,-75.6348660,HIGH ST & MADISON ST;  POTTSTOWN; Station 329; 2015-12-15 @ 13:52:35;,19464,EMS: RESPIRATORY EMERGENCY,2015-12-15 13:52:35,POTTSTOWN,HIGH ST & MADISON ST,1
40.1842742,-75.2276629,N BETHLEHEM PIKE & PENLLYN PIKE; LOWER GWYNEDD; 2015-12-15 @ 14:54:42;,19002,Traffic: VEHICLE ACCIDENT -,2015-12-15 14:54:42,LOWER GWYNEDD,N BETHLEHEM PIKE & PENLLYN PIKE,1
40.0024480,-75.2733130,WYNNEWOOD RD & PENN RD; LOWER MERION; 2015-12-15 @ 15:57:41;,19096,Traffic: VEHICLE ACCIDENT -,2015-12-15 15:57:41,LOWER MERION,WYNNEWOOD RD & PENN RD,1
39.9888270,-75.2786720,HAVERFORD RD & REMINGTON RD; LOWER MERION; 2015-12-15 @ 17:07:58;,19096,Traffic: VEHICLE ACCIDENT -,2015-12-15 17:07:58,LOWER MERION,HAVERFORD RD & REMINGTON RD,1
40.1655642,-75.4743420,S COLLEGEVILLE RD & ARCOLA RD; UPPER PROVIDENCE; 2015-12-15 @ 17:59:06;,19426,Traffic: VEHICLE ACCIDENT -,2015-12-15 17:59:06,UPPER PROVIDENCE,S COLLEGEVILLE RD & ARCOLA RD,1
40.1564481,-75.1220797,EASTON RD & ANDREA DR;  UPPER MORELAND; Station 381; 2015-12-15 @ 18:57:19;,19090,EMS: FALL VICTIM,2015-12-15 18:57:19,UPPER MORELAND,EASTON RD & ANDREA DR,1
40.2502687,-75.6447277,LINCOLN AVE & N EVANS ST;  POTTSTOWN; Station 329; 2015-12-15 @ 20:44:19;,19464,EMS: MEDICAL ALERT ALARM,2015-12-15 20:44:19,POTTSTOWN,LINCOLN AVE & N EVANS ST,1
40.1390155,-75.2124309,BETHLEHEM PIKE & WASHINGTON LN;  UPPER DUBLIN; Station 351; 2015-12-15 @ 22:14:06;,19034,EMS: ALLERGIC REACTION,2015-12-15 22:14:06,UPPER DUBLIN,BETHLEHEM PIKE & WASHINGTON LN,1
40.1759396,-75.2893863,SPYGLASS DR & FAIRWAY DR;  WHITPAIN; Station 385; 2015-12-16 @ 02:16:11;,19422,EMS: SUBJECT IN PAIN,2015-12-16 02:16:11,WHITPAIN,SPYGLASS DR & FAIRWAY DR,1
40.0899730,-75.1410849,FERNBROOK AVE & MAPLE AVE;  CHELTENHAM; Station 358A; 2015-12-16 @ 06:15:55;,19095,EMS: DIABETIC EMERGENCY,2015-12-16 06:15:55,CHELTENHAM,FERNBROOK AVE & MAPLE AVE,1
40.2518845,-75.6528626,3RD ST & JOHNSON ST;  POTTSTOWN; Station 329; 2015-12-16 @ 07:55:36;,19464,EMS: DIZZINESS,2015-12-16 07:55:36,POTTSTOWN,3RD ST & JOHNSON ST,1
40.1468078,-75.0993576,GREENWOOD DR & DEER RUN RD;  UPPER MORELAND; Station 381; 2015-12-16 @ 09:04:17;,19090,EMS: FALL VICTIM,2015-12-16 09:04:17,UPPER MORELAND,GREENWOOD DR & DEER RUN RD,1
40.2254016,-75.4469886,CENTENNIAL ST & RAHNS RD; PERKIOMEN; 2015-12-16 @ 10:26:04-Station:STA66;,,Fire: GAS-ODOR/LEAK,2015-12-16 10:26:04,PERKIOMEN,CENTENNIAL ST & RAHNS RD,1
40.2994905,-75.5851590,CHARLOTTE ST & SWAMP PIKE;  NEW HANOVER; Station 332; 2015-12-16 @ 11:56:23;,19525,EMS: CARDIAC EMERGENCY,2015-12-16 11:56:23,NEW HANOVER,CHARLOTTE ST & SWAMP PIKE,1
40.3142539,-75.6353784,SWINEHART RD & MILL ST;  DOUGLASS; Station 332; 2015-12-16 @ 13:36:05;,19512,EMS: DIZZINESS,2015-12-16 13:36:05,DOUGLASS,SWINEHART RD & MILL ST,1
40.0927343,-75.1388960,HILLTOP LN & E GLENSIDE AVE;  CHELTENHAM; Station 358A; 2015-12-16 @ 14:31:37;,19095,EMS: RESPIRATORY EMERGENCY,2015-12-16 14:31:37,CHELTENHAM,HILLTOP LN & E GLENSIDE AVE,1
40.2440243,-75.6094326,SUNNYBROOK RD & E HIGH ST;  LOWER POTTSGROVE; Station 329; 2015-12-16 @ 16:12:54;,19464,EMS: DIZZINESS,2015-12-16 16:12:54,LOWER POTTSGROVE,SUNNYBROOK RD & E HIGH ST,1
40.1082672,-75.3062326,BLUEROUTE  & BROOK RD UNDERPASS; PLYMOUTH; 2015-12-16 @ 16:49:01;,,Traffic: VEHICLE ACCIDENT -,2015-12-16 16:49:01,PLYMOUTH,BLUEROUTE  & BROOK RD UNDERPASS,1
40.0837495,-75.1218476,TOWNSHIP LINE RD & GLEN RD; CHELTENHAM; 2015-12-16 @ 17:38:16;,19027,Traffic: VEHICLE ACCIDENT -,2015-12-16 17:38:16,CHELTENHAM,TOWNSHIP LINE RD & GLEN RD,1
40.0773599,-75.1109878,TOWNSHIP LINE RD & FAIRVIEW RD; CHELTENHAM; 2015-12-16 @ 18:01:31;,19027,Traffic: DISABLED VEHICLE -,2015-12-16 18:01:31,CHELTENHAM,TOWNSHIP LINE RD & FAIRVIEW RD,1
40.1653934,-75.2829046,EXTENSION PENNSYLVANIA TPKE & TOWNSHIP LINE RD UNDERPASS; WHITPAIN; 2015-12-16 @ 19:53:37-Station:STA44;,,Fire: VEHICLE FIRE,2015-12-16 19:53:37,WHITPAIN,EXTENSION PENNSYLVANIA TPKE & TOWNSHIP LINE RD UNDERPASS,1
40.1178535,-75.3548065,W LAFAYETTE ST; NORRISTOWN; 2015-12-16 @ 21:30:22-Station:STA27;,19401,Fire: FIRE SPECIAL SERVICE,2015-12-16 21:30:22,NORRISTOWN,W LAFAYETTE ST,1
40.0688245,-75.3112438,CRAWFORD AVE & FRONT ST;  WEST CONSHOHOCKEN; Station 313A; 2015-12-17 @ 00:27:00;,19428,EMS: VEHICLE ACCIDENT,2015-12-17 00:27:00,WEST CONSHOHOCKEN,CRAWFORD AVE & FRONT ST,1
40.0805395,-75.2997124,E 9TH AVE & FAYETTE ST; CONSHOHOCKEN; 2015-12-17 @ 06:21:17;,19428,Traffic: VEHICLE ACCIDENT -,2015-12-17 06:21:17,CONSHOHOCKEN,E 9TH AVE & FAYETTE ST,1
40.1537919,-75.1378590,WELSH RD & TWINING RD; UPPER MORELAND; 2015-12-17 @ 08:01:36;,19090,Traffic: VEHICLE ACCIDENT -,2015-12-17 08:01:36,UPPER MORELAND,WELSH RD & TWINING RD,1
40.2250992,-75.2076515,HORSHAM RD & GREEN TREE TAVERN RD;  HORSHAM; Station 352; 2015-12-17 @ 08:55:03;,19454,EMS: RESPIRATORY EMERGENCY,2015-12-17 08:55:03,HORSHAM,HORSHAM RD & GREEN TREE TAVERN RD,1
40.1666567,-75.1464961,DRESHER RD & BUSINESS CENTER DR;  HORSHAM; Station 352; 2015-12-17 @ 10:39:11;,19044,EMS: VEHICLE ACCIDENT,2015-12-17 10:39:11,HORSHAM,DRESHER RD & BUSINESS CENTER DR,1
40.2547628,-75.6836140,DOGWOOD LN & EVERGREEN RD; WEST POTTSGROVE; 2015-12-17 @ 12:29:29-Station:STA57;,19464,Fire: FIRE ALARM,2015-12-17 12:29:29,WEST POTTSGROVE,DOGWOOD LN & EVERGREEN RD,1
40.3371033,-75.3480801,CATHILL RD & COUNTY LINE RD; BUCKS COUNTY; 2015-12-17 @ 13:31:12;,18969,Traffic: VEHICLE ACCIDENT -,2015-12-17 13:31:12,BUCKS COUNTY,CATHILL RD & COUNTY LINE RD,1
40.1104294,-75.1041814,WASHINGTON LN & VALLEY RD; ABINGTON; 2015-12-17 @ 14:17:44-Station:STA100;,19046,Fire: FIRE ALARM,2015-12-17 14:17:44,ABINGTON,WASHINGTON LN & VALLEY RD,1
40.1518195,-75.2665979,PENLLYN BLUE BELL PIKE; WHITPAIN; 2015-12-17 @ 15:07:00-Station:STA33;,,Fire: BUILDING FIRE,2015-12-17 15:07:00,WHITPAIN,PENLLYN BLUE BELL PIKE,1
40.2427395,-75.2170670,STUMP RD & STEEPLECHASE DR; MONTGOMERY; 2015-12-17 @ 16:19:35;,19454,Traffic: VEHICLE ACCIDENT -,2015-12-17 16:19:35,MONTGOMERY,STUMP RD & STEEPLECHASE DR,1
40.2227853,-75.6602523,POTTSTOWN PIKE & LENAPE XING; CHESTER COUNTY; 2015-12-17 @ 17:20:19;,19465,Traffic: VEHICLE ACCIDENT -,2015-12-17 17:20:19,CHESTER COUNTY,POTTSTOWN PIKE & LENAPE XING,1
40.2290075,-75.3878525,NO LOCATION - NEIGHBORING COUNTY;  CHESTER COUNTY; Station EMS; 2015-12-17 @ 18:07:19;,,EMS: RESPIRATORY EMERGENCY,2015-12-17 18:07:19,CHESTER COUNTY,NO LOCATION - NEIGHBORING COUNTY,1
40.0907801,-75.2147629,BETHLEHEM PIKE & GORDON RD; SPRINGFIELD; 2015-12-17 @ 18:51:29;,19038,Traffic: VEHICLE ACCIDENT -,2015-12-17 18:51:29,SPRINGFIELD,BETHLEHEM PIKE & GORDON RD,1
40.0615881,-75.3930616,BRIANS WAY & RADNOR RD; UPPER MERION; 2015-12-17 @ 20:31:01-Station:STA47;,19087,Fire: FIRE ALARM,2015-12-17 20:31:01,UPPER MERION,BRIANS WAY & RADNOR RD,1
40.1392582,-75.1641167,N LIMEKILN PIKE & SUSQUEHANNA RD; UPPER DUBLIN; 2015-12-17 @ 21:47:10;,19025,Traffic: VEHICLE ACCIDENT -,2015-12-17 21:47:10,UPPER DUBLIN,N LIMEKILN PIKE & SUSQUEHANNA RD,1
40.1771668,-75.4969249,SPARKLEBERRY LN & SOURWOOD LN; UPPER PROVIDENCE; 2015-12-18 @ 08:24:57-Station:STA77;,19426,Fire: CARBON MONOXIDE DETECTOR,2015-12-18 08:24:57,UPPER PROVIDENCE,SPARKLEBERRY LN & SOURWOOD LN,1
