🔧 Executing 1115 notebooks with 4 workers...
  Progress: 0/1115 (0.0%)
  Progress: 10/1115 (0.9%) - Passed: 10, Failed: 0
  Progress: 400/1115 (35.9%) - Passed: 393, Failed: 7
  Progress: 410/1115 (36.8%) - Passed: 403, Failed: 7
  Progress: 420/1115 (37.7%) - Passed: 412, Failed: 8
  Progress: 430/1115 (38.6%) - Passed: 419, Failed: 11
  Progress: 440/1115 (39.5%) - Passed: 428, Failed: 12
  Progress: 450/1115 (40.4%) - Passed: 436, Failed: 14
  Progress: 460/1115 (41.3%) - Passed: 442, Failed: 18
  Progress: 470/1115 (42.2%) - Passed: 451, Failed: 19
  Progress: 480/1115 (43.0%) - Passed: 460, Failed: 20
  Progress: 490/1115 (43.9%) - Passed: 467, Failed: 23
  Progress: 500/1115 (44.8%) - Passed: 472, Failed: 28
  Progress: 510/1115 (45.7%) - Passed: 482, Failed: 28
  Progress: 520/1115 (46.6%) - Passed: 487, Failed: 33
  Progress: 530/1115 (47.5%) - Passed: 493, Failed: 37
  Progress: 540/1115 (48.4%) - Passed: 503, Failed: 37
  Progress: 550/1115 (49.3%) - Passed: 513, Failed: 37
  Progress: 560/1115 (50.2%) - Passed: 523, Failed: 37
  Progress: 570/1115 (51.1%) - Passed: 533, Failed: 37
  Progress: 580/1115 (52.0%) - Passed: 543, Failed: 37
  Progress: 590/1115 (52.9%) - Passed: 552, Failed: 38
  Progress: 600/1115 (53.8%) - Passed: 562, Failed: 38
  Progress: 610/1115 (54.7%) - Passed: 571, Failed: 39
  Progress: 620/1115 (55.6%) - Passed: 581, Failed: 39
  Progress: 630/1115 (56.5%) - Passed: 590, Failed: 40
  Progress: 640/1115 (57.4%) - Passed: 599, Failed: 41
  Progress: 650/1115 (58.3%) - Passed: 606, Failed: 44
  Progress: 660/1115 (59.2%) - Passed: 614, Failed: 46
  Progress: 670/1115 (60.1%) - Passed: 621, Failed: 49
  Progress: 680/1115 (61.0%) - Passed: 628, Failed: 52
  Progress: 690/1115 (61.9%) - Passed: 637, Failed: 53
  Progress: 700/1115 (62.8%) - Passed: 643, Failed: 57
  Progress: 710/1115 (63.7%) - Passed: 653, Failed: 57
  Progress: 720/1115 (64.6%) - Passed: 659, Failed: 61
  Progress: 730/1115 (65.5%) - Passed: 665, Failed: 65
  Progress: 740/1115 (66.4%) - Passed: 673, Failed: 67
  Progress: 750/1115 (67.3%) - Passed: 681, Failed: 69
  Progress: 760/1115 (68.2%) - Passed: 691, Failed: 69
  Progress: 770/1115 (69.1%) - Passed: 701, Failed: 69
  Progress: 780/1115 (70.0%) - Passed: 707, Failed: 73
  Progress: 790/1115 (70.9%) - Passed: 717, Failed: 73
  Progress: 800/1115 (71.7%) - Passed: 725, Failed: 75
  Progress: 810/1115 (72.6%) - Passed: 735, Failed: 75
  Progress: 820/1115 (73.5%) - Passed: 745, Failed: 75
  Progress: 830/1115 (74.4%) - Passed: 755, Failed: 75
  Progress: 840/1115 (75.3%) - Passed: 765, Failed: 75
  Progress: 850/1115 (76.2%) - Passed: 775, Failed: 75
  Progress: 860/1115 (77.1%) - Passed: 783, Failed: 77
  Progress: 870/1115 (78.0%) - Passed: 792, Failed: 78
  Progress: 880/1115 (78.9%) - Passed: 802, Failed: 78
  Progress: 890/1115 (79.8%) - Passed: 812, Failed: 78
  Progress: 900/1115 (80.7%) - Passed: 821, Failed: 79
  Progress: 910/1115 (81.6%) - Passed: 830, Failed: 80
  Progress: 920/1115 (82.5%) - Passed: 839, Failed: 81
  Progress: 930/1115 (83.4%) - Passed: 847, Failed: 83
  Progress: 940/1115 (84.3%) - Passed: 848, Failed: 92
  Progress: 950/1115 (85.2%) - Passed: 851, Failed: 99
  Progress: 960/1115 (86.1%) - Passed: 860, Failed: 100
  Progress: 970/1115 (87.0%) - Passed: 868, Failed: 102
  Progress: 980/1115 (87.9%) - Passed: 877, Failed: 103
  Progress: 990/1115 (88.8%) - Passed: 886, Failed: 104
  Progress: 1000/1115 (89.7%) - Passed: 896, Failed: 104
  Progress: 1010/1115 (90.6%) - Passed: 905, Failed: 105
  Progress: 1020/1115 (91.5%) - Passed: 915, Failed: 105
  Progress: 1030/1115 (92.4%) - Passed: 922, Failed: 108
  Progress: 1040/1115 (93.3%) - Passed: 929, Failed: 111
  Progress: 1050/1115 (94.2%) - Passed: 939, Failed: 111
  Progress: 1060/1115 (95.1%) - Passed: 943, Failed: 117
  Progress: 1070/1115 (96.0%) - Passed: 950, Failed: 120
  Progress: 1080/1115 (96.9%) - Passed: 959, Failed: 121
  Progress: 1090/1115 (97.8%) - Passed: 969, Failed: 121
  Progress: 1100/1115 (98.7%) - Passed: 977, Failed: 123
  Progress: 1110/1115 (99.6%) - Passed: 982, Failed: 128
  Progress: 1115/1115 (100.0%) - Passed: 985, Failed: 130

✅ Execution complete!
  Passed: 985
  Failed: 130
  Report: /Users/abdullah/Downloads/AI Diploma/artifacts/notebook_execution_report_v2.json
